Quarter,GDP,Consumption,Cpi,Investment,Unemployment,Energy_demand,Des_Energy_demand,Total_CO2_Emissions,Des_Total_CO2_Emissions,Fed_rate
1973 March,5642.669,3566.957,43.0333,764.458,4.93,20337.678,18891.8547,1277.701,1182.168937,8.49
1973 June,5704.098,3565.349,43.9333,797.044,4.93,17816.352,19038.78848,1104.601,1185.532443,10.78
1973 September,5674.1,3577.898,44.8,768.143,4.8,17917.081,18891.76782,1116.68,1178.742724,9.95
1973 December,5727.96,3567.227,45.9333,795.504,4.77,19580.799,18789.98083,1224.197,1176.818964,9.35
1974 March,5678.713,3535.312,47.3,750.076,5.13,19589.11,18180.6137,1213.023,1116.960583,11.93
1974 June,5692.21,3548.041,48.5667,747.082,5.2,17367.799,18577.0829,1068.382,1149.670823,11.34
1974 September,5638.411,3563.282,49.9333,708.362,5.63,17712.053,18688.56571,1087.846,1150.318952,8.53
1974 December,5616.526,3511.197,51.4667,712.661,6.6,19260.223,18490.97978,1193.07,1146.493819,5.54
1975 March,5548.156,3540.647,52.5667,597.866,8.27,19608.596,18137.72558,1216.79,1118.411448,5.55
1975 June,5587.8,3598.886,53.2,580.067,8.87,16725.208,17909.33746,1027.262,1109.039209,6.24
1975 September,5683.444,3650.035,54.2667,625.037,8.47,16911.818,17877.99844,1036.54,1099.889759,5.2
1975 December,5759.972,3689.285,55.2667,642.484,8.3,18685.806,17963.67111,1147.028,1102.006806,4.84
1976 March,5889.5,3763.048,55.9,704.475,7.73,20097.409,18520.16471,1242.715,1141.644703,5.48
1976 June,5932.711,3797.67,56.4,732.358,7.57,17473.185,18721.45083,1078.944,1161.231613,5.25
1976 September,5965.265,3837.654,57.3,734.91,7.73,17734.927,18771.99891,1090.247,1153.914943,4.65
1976 December,6008.504,3887.447,58.1333,740.408,7.77,20633.002,19865.56432,1283.388,1239.977646,4.69
1977 March,6079.494,3933.268,59.2,774.711,7.5,21081.175,19367.20263,1316.587,1213.244829,5.39
