model,mean_loss,pvalue,in_set,elimination_round
cop_0001_qvarma_p1q1r2,0.022828972734291391,0,0,136
cop_0002_qvarma_p1q1r2,0.034248056177090716,0,0,801
cop_0003_qvarma_p1q1r2,0.022479538831889755,0,0,671
cop_0004_qvarma_p1q1r2,0.023345075826654391,0,0,540
cop_0005_qvarma_p1q1r2,0.019228326979449928,0,0,302
cop_0006_qvarma_p1q1r2,0.020517955140186471,0,0,495
cop_0007_qvarma_p1q1r2,0.024550755625191323,0,0,242
cop_0008_qvarma_p1q1r2,0.020591278776118001,0,0,410
cop_0009_qvarma_p1q1r2,0.026540588862050095,0,0,126
cop_0010_qvarma_p1q1r2,0.033713830265346793,0,0,909
cop_0011_qvarma_p1q1r2,0.019438460747776519,0,0,317
cop_0012_qvarma_p1q1r2,0.034184103686481913,0,0,727
cop_0013_qvarma_p1q1r2,0.024994038084753041,0,0,213
cop_0014_qvarma_p1q1r2,0.027548011138822784,0,0,98
cop_0015_qvarma_p1q1r2,0.031504691633957881,0,0,655
cop_0016_qvarma_p1q1r2,0.022912622852363469,0,0,849
cop_0017_qvarma_p1q1r2,0.022442533908678768,0,0,885
cop_0018_qvarma_p1q1r2,0.027079926515309823,0,0,321
cop_0019_qvarma_p1q1r2,0.023371809437930564,0,0,785
cop_0020_qvarma_p1q1r2,0.037619706160634356,0,0,658
cop_0021_qvarma_p1q1r2,0.036304988596923375,0,0,918
cop_0022_qvarma_p1q1r2,0.02181529606675018,0,0,128
cop_0023_qvarma_p1q1r2,0.02816489950529474,0,0,301
cop_0024_qvarma_p1q1r2,0.016395309287982846,0,0,777
cop_0025_qvarma_p1q1r2,0.029664400777457935,0,0,22
cop_0026_qvarma_p1q1r2,0.034013270331672264,0,0,905
cop_0027_qvarma_p1q1r2,0.020027697582154454,0,0,458
cop_0028_qvarma_p1q1r2,0.028234252998123977,0,0,808
cop_0029_qvarma_p1q1r2,0.035940564911512041,0,0,853
cop_0030_qvarma_p1q1r2,0.019508097639574382,0,0,423
cop_0031_qvarma_p1q1r2,0.016983593726181304,0,0,606
cop_0032_qvarma_p1q1r2,0.022297737493206241,0,0,502
cop_0033_qvarma_p1q1r2,0.030556704554891942,0,0,840
cop_0034_qvarma_p1q1r2,0.028914962815375766,0,0,753
cop_0035_qvarma_p1q1r2,0.025306507795907152,0,0,602
cop_0036_qvarma_p1q1r2,0.024543427864304541,0,0,481
cop_0037_qvarma_p1q1r2,0.016983511993640513,0,0,999
cop_0038_qvarma_p1q1r2,0.033923213576909278,0,0,643
cop_0039_qvarma_p1q1r2,0.027672527394699897,0,0,802
cop_0040_qvarma_p1q1r2,0.023828934616419894,0,0,306
cop_0041_qvarma_p1q1r2,0.027457989215764894,0,0,219
cop_0042_qvarma_p1q1r2,0.02400848352214301,0,0,408
cop_0043_qvarma_p1q1r2,0.028464971990279048,0,0,570
cop_0044_qvarma_p1q1r2,0.023221442344628113,0,0,593
cop_0045_qvarma_p1q1r2,0.024007892262689824,0,0,440
cop_0046_qvarma_p1q1r2,0.031452560193262091,0,0,595
cop_0047_qvarma_p1q1r2,0.018633794978170519,0,0,714
cop_0048_qvarma_p1q1r2,0.028771593702407647,0,0,231
cop_0049_qvarma_p1q1r2,0.033067385631533386,0,0,311
cop_0050_qvarma_p1q1r2,0.019485450381906758,0,0,366
cop_0051_qvarma_p1q1r2,0.032264940572266164,0,0,690
cop_0052_qvarma_p1q1r2,0.052879448001729043,0,0,823
cop_0053_qvarma_p1q1r2,0.028247875404532278,0,0,95
cop_0054_qvarma_p1q1r2,0.020506819669048416,0,0,636
cop_0055_qvarma_p1q1r2,0.041362047055709193,0,0,925
cop_0056_qvarma_p1q1r2,0.030901498290947068,0,0,365
