model,mean_loss,tr_pvalue,tr_in_set,tr_elimination_round,tmax_pvalue,tmax_in_set,tmax_elimination_round
cop_0001_qvarma_p1q1r2,230458677.19472653,0,0,857,0,0,916
cop_0002_qvarma_p1q1r2,2355528642.0552707,0,0,425,0,0,124
cop_0003_qvarma_p1q1r2,1526366072.4140334,0,0,74,0,0,110
cop_0004_qvarma_p1q1r2,375077136.10386658,0,0,917,0,0,876
cop_0005_qvarma_p1q1r2,551196890.95389056,0,0,820,0,0,735
cop_0006_qvarma_p1q1r2,629787499.68136775,0,0,759,0,0,649
cop_0007_qvarma_p1q1r2,999357230.34636521,0,0,206,0,0,301
cop_0008_qvarma_p1q1r2,606985134.43109238,0,0,761,0,0,671
cop_0009_qvarma_p1q1r2,550813466.5320487,0,0,653,0,0,664
cop_0010_qvarma_p1q1r2,2070734353.9787395,0,0,118,0,0,65
cop_0011_qvarma_p1q1r2,182471969.40931395,0,0,905,0,0,942
cop_0012_qvarma_p1q1r2,1521916673.3943393,0,0,202,0,0,153
cop_0013_qvarma_p1q1r2,869660718.65106428,0,0,654,0,0,508
cop_0014_qvarma_p1q1r2,482635553.92171633,0,0,663,0,0,723
cop_0015_qvarma_p1q1r2,817923133.72273636,0,0,276,0,0,421
cop_0016_qvarma_p1q1r2,449662220.7798149,0,0,790,0,0,790
cop_0017_qvarma_p1q1r2,1374155173.1466401,0,0,381,0,0,230
cop_0018_qvarma_p1q1r2,1112637782.9100754,0,0,212,0,0,255
cop_0019_qvarma_p1q1r2,984820839.51374912,0,0,257,0,0,323
cop_0020_qvarma_p1q1r2,1158363420.2827528,0,0,117,0,0,210
cop_0021_qvarma_p1q1r2,1626967667.7688658,0,0,140,0,0,115
cop_0022_qvarma_p1q1r2,428973488.53683853,0,0,630,0,0,760
cop_0023_qvarma_p1q1r2,721649669.04236221,0,0,744,0,0,615
cop_0024_qvarma_p1q1r2,500346854.92576939,0,0,697,0,0,719
cop_0025_qvarma_p1q1r2,518509519.22262663,0,0,658,0,0,697
cop_0026_qvarma_p1q1r2,1533278590.6382034,0,0,343,0,0,187
cop_0027_qvarma_p1q1r2,545100974.77698731,0,0,513,0,0,640
cop_0028_qvarma_p1q1r2,1438094356.6600344,0,0,108,0,0,137
cop_0029_qvarma_p1q1r2,1664614843.3312924,0,0,18,0,0,66
cop_0030_qvarma_p1q1r2,312729065.56481409,0,0,873,0,0,882
cop_0031_qvarma_p1q1r2,85019724.011463523,0,0,999,0.00050000000000000001,0,999
cop_0032_qvarma_p1q1r2,304795358.06709832,0,0,738,0,0,858
cop_0033_qvarma_p1q1r2,1177037259.1293726,0,0,122,0,0,206
cop_0034_qvarma_p1q1r2,1002382153.8088002,0,0,204,0,0,291
cop_0035_qvarma_p1q1r2,612274533.76998365,0,0,493,0,0,591
cop_0036_qvarma_p1q1r2,503561766.06432694,0,0,814,0,0,767
cop_0037_qvarma_p1q1r2,556811213.92950356,0,0,690,0,0,679
cop_0038_qvarma_p1q1r2,831738232.37458134,0,0,252,0,0,408
cop_0039_qvarma_p1q1r2,985076458.02161717,0,0,524,0,0,411
cop_0040_qvarma_p1q1r2,552900195.31667626,0,0,475,0,0,635
cop_0041_qvarma_p1q1r2,613592841.29125941,0,0,510,0,0,596
cop_0042_qvarma_p1q1r2,861263669.76487446,0,0,325,0,0,413
cop_0043_qvarma_p1q1r2,1184164913.3502021,0,0,336,0,0,272
cop_0044_qvarma_p1q1r2,813618322.46433699,0,0,517,0,0,497
cop_0045_qvarma_p1q1r2,1364813760.6625953,0,0,258,0,0,195
cop_0046_qvarma_p1q1r2,1189447666.6481988,0,0,301,0,0,256
cop_0047_qvarma_p1q1r2,102148276.02737455,0,0,993,0.00050000000000000001,0,994
cop_0048_qvarma_p1q1r2,781268771.09982145,0,0,291,0,0,453
cop_0049_qvarma_p1q1r2,701673585.65155888,0,0,268,0,0,491
cop_0050_qvarma_p1q1r2,262339357.2072365,0,0,847,0,0,900
cop_0051_qvarma_p1q1r2,1707921955.9701033,0,0,109,0,0,103
cop_0052_qvarma_p1q1r2,1996785777.5658648,0,0,8,0,0,31
cop_0053_qvarma_p1q1r2,508326108.07525384,0,0,708,0,0,716
cop_0054_qvarma_p1q1r2,1371374086.1472332,0,0,679,0,0,363
cop_0055_qvarma_p1q1r2,1038793853.5756657,0,0,56,0,0,236
cop_0056_qvarma_p1q1r2,689368239.78184271,0,0,384,0,0,524
cop_0057_qvarma_p1q1r2,264498420.69327584,0,0,841,0,0,898
cop_0058_qvarma_p1q1r2,527987724.27299827,0,0,684,0,0,696
cop_0059_qvarma_p1q1r2,541330074.10177791,0,0,594,0,0,658
cop_0060_qvarma_p1q1r2,490319740.80527472,0,0,546,0,0,686
cop_0061_qvarma_p1q1r2,541136722.36368823,0,0,566,0,0,653
cop_0062_qvarma_p1q1r2,1774845664.4250486,0,0,288,0,0,135
cop_0063_qvarma_p1q1r2,1762560616.6650074,0,0,33,0,0,64
cop_0064_qvarma_p1q1r2,805223893.33645701,0,0,533,0,0,504
cop_0065_qvarma_p1q1r2,909994181.79021049,0,0,431,0,0,428
cop_0066_qvarma_p1q1r2,368447053.66051722,0,0,683,0,0,821
cop_0067_qvarma_p1q1r2,872341865.21073639,0,0,751,0,0,557
cop_0068_qvarma_p1q1r2,645423652.22571838,0,0,399,0,0,554
cop_0069_qvarma_p1q1r2,452116332.71593159,0,0,644,0,0,744
cop_0070_qvarma_p1q1r2,220318585.54980499,0,0,845,0,0,917
cop_0071_qvarma_p1q1r2,950012212.15503931,0,0,373,0,0,374
cop_0072_qvarma_p1q1r2,474744042.54458529,0,0,794,0,0,773
cop_0073_qvarma_p1q1r2,459143025.82993358,0,0,511,0,0,706
cop_0074_qvarma_p1q1r2,1040412494.625831,0,0,372,0,0,342
cop_0075_qvarma_p1q1r2,830658632.93898964,0,0,392,0,0,449
cop_0076_qvarma_p1q1r2,430533363.50139028,0,0,781,0,0,801
cop_0077_qvarma_p1q1r2,895040533.86937928,0,0,362,0,0,395
cop_0078_qvarma_p1q1r2,695069797.37770951,0,0,522,0,0,553
cop_0079_qvarma_p1q1r2,1166292348.5742857,0,0,930,0,0,724
cop_0080_qvarma_p1q1r2,498373315.57525676,0,0,465,0,0,669
