model,mean_loss,tr_pvalue,tr_in_set,tr_elimination_round,tmax_pvalue,tmax_in_set,tmax_elimination_round
cop_0001_qvarma_p1q1r2,3940.8501770329026,0,0,858,0,0,897
cop_0002_qvarma_p1q1r2,42926.785740097206,0,0,558,0,0,342
cop_0003_qvarma_p1q1r2,27537.540514290667,0,0,183,0,0,261
cop_0004_qvarma_p1q1r2,8495.1842524245239,0,0,879,0,0,829
cop_0005_qvarma_p1q1r2,7870.9477537616031,0,0,790,0,0,784
cop_0006_qvarma_p1q1r2,7233.2707702030848,0,0,705,0,0,759
cop_0007_qvarma_p1q1r2,27176.133006718919,0,0,291,0,0,299
cop_0008_qvarma_p1q1r2,8114.273931697664,0,0,740,0,0,741
cop_0009_qvarma_p1q1r2,12318.432217663096,0,0,644,0,0,639
cop_0010_qvarma_p1q1r2,38582.419631589277,0,0,170,0,0,183
cop_0011_qvarma_p1q1r2,2324.6549946005334,0.00059999999999999995,0,984,0.35809999999999997,1,988
cop_0012_qvarma_p1q1r2,49627.982192773685,0,0,106,0,0,104
cop_0013_qvarma_p1q1r2,12688.219377544914,0,0,467,0,0,563
cop_0014_qvarma_p1q1r2,9412.0834004238459,0,0,536,0,0,654
cop_0015_qvarma_p1q1r2,20951.228151818501,0,0,139,0,0,332
cop_0016_qvarma_p1q1r2,6436.9958454990083,0,0,829,0,0,834
cop_0017_qvarma_p1q1r2,28459.891990385811,0,0,456,0,0,359
cop_0018_qvarma_p1q1r2,28364.125602063665,0,0,409,0,0,336
cop_0019_qvarma_p1q1r2,23958.096406522571,0,0,343,0,0,352
cop_0020_qvarma_p1q1r2,67492.240939486015,0,0,83,0,0,64
cop_0021_qvarma_p1q1r2,48864.513468161713,0,0,92,0,0,103
cop_0022_qvarma_p1q1r2,8483.3262675583519,0,0,596,0,0,692
cop_0023_qvarma_p1q1r2,7427.5690757718276,0,0,658,0,0,729
cop_0024_qvarma_p1q1r2,8870.0921487079995,0,0,782,0,0,747
cop_0025_qvarma_p1q1r2,12938.484165372511,0,0,388,0,0,538
cop_0026_qvarma_p1q1r2,40430.074721060708,0,0,336,0,0,225
cop_0027_qvarma_p1q1r2,11656.818962598822,0,0,626,0,0,637
cop_0028_qvarma_p1q1r2,55563.07026258525,0,0,117,0,0,91
cop_0029_qvarma_p1q1r2,56870.220701430175,0,0,13,0,0,53
cop_0030_qvarma_p1q1r2,3478.7127433895898,0,0,915,0,0,926
cop_0031_qvarma_p1q1r2,2263.918021141209,0.0402,0,993,0.39200000000000002,1,993
cop_0032_qvarma_p1q1r2,4837.4044744372268,0,0,857,0,0,884
cop_0033_qvarma_p1q1r2,39218.698336351626,0,0,135,0,0,160
cop_0034_qvarma_p1q1r2,43364.17401794227,0,0,172,0,0,155
cop_0035_qvarma_p1q1r2,11390.017328430167,0,0,597,0,0,632
cop_0036_qvarma_p1q1r2,8429.7742908067266,0,0,900,0,0,843
