benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
0,1,1,1.000000,1,no,0.000000,0
1,1,1,1.000000,1,no,0.000000,0
2,1,1,1.000000,2,yes,0.146200,0
3,1,1,1.000000,1,no,0.024400,0
4,0,2,0.000000,1,no,0.000000,0
5,1,1,1.000000,2,yes,0.383100,0
6,1,1,1.000000,1,no,0.000000,0
7,1,1,1.000000,2,yes,0.093900,0
8,1,1,1.000000,1,no,0.000000,0
9,1,1,1.000000,1,no,0.009900,0
10,1,1,1.000000,1,no,0.000000,0
11,1,1,1.000000,1,no,0.000000,0
12,1,1,1.000000,1,no,0.000000,0
13,1,1,1.000000,1,no,0.000000,0
14,1,1,1.000000,2,yes,0.058600,0
15,1,1,1.000000,1,no,0.000000,0
16,1,1,1.000000,1,no,0.000000,0
17,1,1,1.000000,1,no,0.000000,0
18,1,1,1.000000,1,no,0.000000,0
19,1,1,1.000000,1,no,0.000000,0
20,1,1,1.000000,1,no,0.000000,0
21,1,1,1.000000,1,no,0.000000,0
22,1,1,1.000000,1,no,0.000000,0
23,1,1,1.000000,1,no,0.000000,0
24,1,1,1.000000,1,no,0.000000,0
25,1,1,1.000000,1,no,0.000000,0
26,1,1,1.000000,1,no,0.000000,0
27,1,1,1.000000,1,no,0.011100,0
28,1,1,1.000000,1,no,0.000000,0
29,0,3,0.000000,1,no,0.000100,0
30,1,1,1.000000,1,no,0.000000,0
31,1,1,1.000000,1,no,0.001400,0
32,1,1,1.000000,1,no,0.000000,0
33,1,1,1.000000,1,no,0.000000,0
34,1,1,1.000000,1,no,0.000000,0
35,1,1,1.000000,1,no,0.000000,0
36,1,1,1.000000,1,no,0.000000,0
37,0,2,0.000600,1,no,0.000600,0
38,1,1,1.000000,1,no,0.000000,0
39,1,1,1.000000,1,no,0.000000,0
40,1,1,1.000000,1,no,0.000000,0
41,1,1,1.000000,1,no,0.000000,0
42,0,2,0.000000,1,no,0.000000,0
43,1,1,1.000000,1,no,0.000200,0
44,1,1,1.000000,1,no,0.000000,0
