benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
0,1,997,0.168500,25,yes,0.064000,0
1,1,1000,1.000000,406,yes,0.052700,0
2,1,314,0.969700,801,yes,0.050000,0
3,0,868,0.000000,117,yes,0.056400,0
4,0,887,0.000000,6,yes,0.070800,0
5,0,1000,0.000000,13,yes,0.059400,0
6,0,210,0.000500,5,yes,0.092200,0
7,1,979,0.917300,133,yes,0.051700,0
8,0,29,0.000000,1,no,0.004700,0
9,1,940,0.533100,80,yes,0.051600,0
10,1,2,0.539300,2,yes,0.539300,0
11,1,1,1.000000,14,yes,0.101000,0
12,0,62,0.000000,3,yes,0.152500,0
13,0,6,0.000000,1,no,0.000800,0
14,0,48,0.000100,4,yes,0.051000,0
15,1,1,1.000000,6,yes,0.838200,0
16,0,285,0.000000,1,no,0.000000,0
17,0,985,0.000000,2,yes,0.054100,0
18,1,479,1.000000,808,yes,0.050300,0
19,0,52,0.000000,6,yes,0.252400,0
20,0,928,0.000000,58,yes,0.094200,0
21,1,959,1.000000,999,yes,0.055800,0
22,0,9,0.000000,2,yes,0.316200,0
23,1,805,1.000000,670,yes,0.050600,0
24,1,7,0.099000,8,yes,0.063000,0
25,0,268,0.000000,6,yes,0.089300,0
26,0,18,0.000000,2,yes,0.316500,0
27,0,871,0.000000,36,yes,0.091100,0
28,0,3,0.003700,1,no,0.003700,0
29,0,44,0.000000,7,yes,0.057500,0
30,0,920,0.000000,1,no,0.005800,0
31,1,998,0.945200,108,yes,0.055400,0
32,0,175,0.005300,984,yes,0.053500,0
33,0,409,0.000000,239,yes,0.052100,0
34,0,851,0.000000,1,no,0.000200,0
35,1,864,0.628300,170,yes,0.053400,0
36,1,999,1.000000,491,yes,0.053800,0
37,0,43,0.000100,3,yes,0.149700,0
38,1,993,0.499700,34,yes,0.076100,0
39,1,980,0.260700,38,yes,0.054200,0
40,0,994,0.000000,1,no,0.000000,0
41,1,987,0.497300,23,yes,0.052800,0
42,0,979,0.000000,4,yes,0.142400,0
43,0,999,0.000000,1,no,0.000100,0
44,1,26,0.102700,27,yes,0.087100,0
45,1,975,0.982900,134,yes,0.053200,0
46,0,22,0.000000,1,no,0.009300,0
47,1,787,0.440700,267,yes,0.051700,0
48,0,345,0.000000,18,yes,0.058700,0
49,0,312,0.000000,1,no,0.000000,0
50,1,961,0.098600,51,yes,0.054700,0
51,1,1,1.000000,2,yes,0.442400,0
52,0,982,0.000100,12,yes,0.184600,0
53,0,19,0.000600,3,yes,0.439200,0
54,1,158,1.000000,1000,yes,0.940900,0
55,1,987,0.213200,23,yes,0.059700,0
56,0,694,0.000000,34,yes,0.060000,0
57,0,969,0.004600,51,yes,0.066700,0
58,1,912,0.813900,324,yes,0.050600,0
59,1,299,1.000000,1000,yes,0.621300,0
60,0,5,0.004600,2,yes,0.126200,0
61,0,21,0.000300,3,yes,0.484700,0
62,0,171,0.005500,761,yes,0.050000,0
63,1,979,0.999800,214,yes,0.057600,0
64,0,996,0.000000,4,yes,0.080200,0
65,1,923,0.998400,333,yes,0.050200,0
66,0,256,0.000000,713,yes,0.051100,0
67,0,242,0.000000,1,no,0.000000,0
68,0,52,0.000100,3,yes,0.081700,0
69,1,1000,0.246200,10,yes,0.080700,0
70,0,642,0.004700,254,yes,0.051400,0
71,0,77,0.000000,10,yes,0.050000,0
