benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
0,-1,-1,nan,-1,skipped,nan,-1
1,-1,-1,nan,-1,skipped,nan,-1
2,-1,-1,nan,-1,skipped,nan,-1
3,-1,-1,nan,-1,skipped,nan,-1
4,-1,-1,nan,-1,skipped,nan,-1
5,-1,-1,nan,-1,skipped,nan,-1
6,0,287,0.000500,3,yes,0.085800,0
7,-1,-1,nan,-1,skipped,nan,-1
8,0,282,0.000000,15,yes,0.128600,0
9,-1,-1,nan,-1,skipped,nan,-1
10,0,16,0.000000,3,yes,0.207600,0
11,0,26,0.004100,26,yes,0.051200,0
12,0,188,0.000000,6,yes,0.103000,0
13,0,44,0.000000,2,yes,0.228700,0
14,0,56,0.000000,5,yes,0.054300,0
15,0,99,0.000000,4,yes,0.476200,0
16,0,243,0.000000,1,no,0.000100,0
17,-1,-1,nan,-1,skipped,nan,-1
18,-1,-1,nan,-1,skipped,nan,-1
19,0,171,0.000000,18,yes,0.064800,0
20,-1,-1,nan,-1,skipped,nan,-1
21,-1,-1,nan,-1,skipped,nan,-1
22,0,386,0.001600,59,yes,0.053800,0
23,-1,-1,nan,-1,skipped,nan,-1
24,0,179,0.016200,44,yes,0.060700,0
25,0,438,0.000100,5,yes,0.069900,0
26,1,157,0.181400,70,yes,0.050400,0
27,-1,-1,nan,-1,skipped,nan,-1
28,0,26,0.000000,18,yes,0.364200,0
29,0,84,0.000000,29,yes,0.058600,0
30,-1,-1,nan,-1,skipped,nan,-1
31,-1,-1,nan,-1,skipped,nan,-1
32,-1,-1,nan,-1,skipped,nan,-1
33,-1,-1,nan,-1,skipped,nan,-1
34,-1,-1,nan,-1,skipped,nan,-1
35,-1,-1,nan,-1,skipped,nan,-1
36,-1,-1,nan,-1,skipped,nan,-1
37,0,80,0.000000,7,yes,0.060700,0
38,-1,-1,nan,-1,skipped,nan,-1
39,-1,-1,nan,-1,skipped,nan,-1
40,-1,-1,nan,-1,skipped,nan,-1
41,-1,-1,nan,-1,skipped,nan,-1
42,-1,-1,nan,-1,skipped,nan,-1
43,-1,-1,nan,-1,skipped,nan,-1
44,0,104,0.000000,24,yes,0.050100,0
45,-1,-1,nan,-1,skipped,nan,-1
46,0,46,0.000000,2,yes,0.289400,0
47,-1,-1,nan,-1,skipped,nan,-1
48,0,521,0.000000,20,yes,0.054500,0
49,0,288,0.000000,2,yes,0.118900,0
50,-1,-1,nan,-1,skipped,nan,-1
51,0,100,0.000000,10,yes,0.054600,0
52,-1,-1,nan,-1,skipped,nan,-1
53,0,143,0.000000,7,yes,0.051400,0
54,-1,-1,nan,-1,skipped,nan,-1
55,-1,-1,nan,-1,skipped,nan,-1
56,-1,-1,nan,-1,skipped,nan,-1
57,-1,-1,nan,-1,skipped,nan,-1
58,-1,-1,nan,-1,skipped,nan,-1
59,-1,-1,nan,-1,skipped,nan,-1
60,0,34,0.000200,1,no,0.046300,0
61,0,520,0.000000,8,yes,0.052200,0
62,-1,-1,nan,-1,skipped,nan,-1
63,-1,-1,nan,-1,skipped,nan,-1
64,-1,-1,nan,-1,skipped,nan,-1
65,-1,-1,nan,-1,skipped,nan,-1
66,-1,-1,nan,-1,skipped,nan,-1
67,0,765,0.000000,3,yes,0.897200,0
68,0,81,0.000000,40,yes,0.052600,0
69,-1,-1,nan,-1,skipped,nan,-1
70,-1,-1,nan,-1,skipped,nan,-1
71,0,369,0.000800,109,yes,0.051600,0
72,-1,-1,nan,-1,skipped,nan,-1
73,0,47,0.000000,21,yes,0.310200,0
74,-1,-1,nan,-1,skipped,nan,-1
75,0,125,0.000000,1,no,0.000200,0
76,-1,-1,nan,-1,skipped,nan,-1
77,-1,-1,nan,-1,skipped,nan,-1
78,0,145,0.000100,93,yes,0.050300,0
79,0,266,0.000100,49,yes,0.054300,0
80,-1,-1,nan,-1,skipped,nan,-1
81,0,50,0.000100,22,yes,0.062600,0
82,0,245,0.000100,14,yes,0.053600,0
83,-1,-1,nan,-1,skipped,nan,-1
84,-1,-1,nan,-1,skipped,nan,-1
85,-1,-1,nan,-1,skipped,nan,-1
86,-1,-1,nan,-1,skipped,nan,-1
87,-1,-1,nan,-1,skipped,nan,-1
88,-1,-1,nan,-1,skipped,nan,-1
89,-1,-1,nan,-1,skipped,nan,-1
90,-1,-1,nan,-1,skipped,nan,-1
91,-1,-1,nan,-1,skipped,nan,-1
92,-1,-1,nan,-1,skipped,nan,-1
93,-1,-1,nan,-1,skipped,nan,-1
94,0,144,0.000100,18,yes,0.063700,0
95,-1,-1,nan,-1,skipped,nan,-1
96,-1,-1,nan,-1,skipped,nan,-1
97,-1,-1,nan,-1,skipped,nan,-1
98,-1,-1,nan,-1,skipped,nan,-1
99,-1,-1,nan,-1,skipped,nan,-1
100,-1,-1,nan,-1,skipped,nan,-1
101,0,18,0.023600,6,yes,0.094000,0
102,0,65,0.013900,75,yes,0.056100,0
103,-1,-1,nan,-1,skipped,nan,-1
104,-1,-1,nan,-1,skipped,nan,-1
105,0,166,0.000000,12,yes,0.090700,0
106,-1,-1,nan,-1,skipped,nan,-1
107,-1,-1,nan,-1,skipped,nan,-1
