source file -> dataset/abm_system/<source>/batch_<000..>.npz
100 source files found under dataset/simulated

sample                             replicates      periods
EstimationSeriesSample1_57                108          400
EstimationSeriesSample1_6                 108          400
EstimationSeriesSample1_71                108          400
EstimationSeriesSample1_91                108          400
EstimationSeriesSample1_99                108          400
EstimationSeriesSample1_11                108          400
EstimationSeriesSample1_34                108          400
EstimationSeriesSample1_88                108          400
EstimationSeriesSample1_43                108          400
EstimationSeriesSample1_94                108          400
EstimationSeriesSample1_28                108          400
EstimationSeriesSample1_27                108          400
EstimationSeriesSample1_49                108          400
EstimationSeriesSample1_15                108          400
EstimationSeriesSample1_69                108          400
EstimationSeriesSample1_60                108          400
EstimationSeriesSample1_90                108          400
EstimationSeriesSample1_52                108          400
EstimationSeriesSample1_62                108          400
EstimationSeriesSample1_63                108          400
EstimationSeriesSample1_40                108          400
EstimationSeriesSample1_77                108          400
EstimationSeriesSample1_81                108          400
EstimationSeriesSample1_61                108          400
EstimationSeriesSample1_19                108          400
EstimationSeriesSample1_76                108          400
EstimationSeriesSample1_29                108          400
EstimationSeriesSample1_37                108          400
EstimationSeriesSample1_83                108          400
EstimationSeriesSample1_33                108          400
EstimationSeriesSample1_68                108          400
EstimationSeriesSample1_55                108          400
EstimationSeriesSample1_21                108          400
EstimationSeriesSample1_13                108          400
EstimationSeriesSample1_74                108          400
EstimationSeriesSample1_25                108          400
EstimationSeriesSample1_4                 108          400
EstimationSeriesSample1_75                108          400
EstimationSeriesSample1_86                108          400
EstimationSeriesSample1_65                108          400
EstimationSeriesSample1_95                108          400
EstimationSeriesSample1_5                 108          400
EstimationSeriesSample1_39                108          400
EstimationSeriesSample1_82                108          400
EstimationSeriesSample1_44                108          400
EstimationSeriesSample1_64                108          400
EstimationSeriesSample1_42                108          400
EstimationSeriesSample1_98                108          400
EstimationSeriesSample1_70                108          400
EstimationSeriesSample1_78                108          400
EstimationSeriesSample1_10                108          400
EstimationSeriesSample1_92                108          400
EstimationSeriesSample1_35                108          400
EstimationSeriesSample1_50                108          400
EstimationSeriesSample1_54                108          400
EstimationSeriesSample1_26                108          400
EstimationSeriesSample1_72                108          400
EstimationSeriesSample1_93                108          400
EstimationSeriesSample1_96                108          400
EstimationSeriesSample1_41                108          400
EstimationSeriesSample1_20                108          400
EstimationSeriesSample1_3                 108          400
EstimationSeriesSample1_32                108          400
EstimationSeriesSample1_48                108          400
EstimationSeriesSample1_36                108          400
EstimationSeriesSample1_9                 108          400
EstimationSeriesSample1_85                108          400
EstimationSeriesSample1_17                108          400
EstimationSeriesSample1_47                108          400
EstimationSeriesSample1_16                108          400
EstimationSeriesSample1_87                108          400
EstimationSeriesSample1_73                108          400
EstimationSeriesSample1_7                 108          400
EstimationSeriesSample1_67                108          400
EstimationSeriesSample1_66                108          400
EstimationSeriesSample1_97                108          400
EstimationSeriesSample1_45                108          400
EstimationSeriesSample1_100               108          400
EstimationSeriesSample1_58                108          400
EstimationSeriesSample1_31                108          400
EstimationSeriesSample1_80                108          400
EstimationSeriesSample1_1                 108          400
EstimationSeriesSample1_30                108          400
EstimationSeriesSample1_2                 108          400
EstimationSeriesSample1_22                108          400
EstimationSeriesSample1_46                108          400
EstimationSeriesSample1_84                108          400
EstimationSeriesSample1_89                108          400
EstimationSeriesSample1_51                108          400
EstimationSeriesSample1_56                108          400
EstimationSeriesSample1_79                108          400
EstimationSeriesSample1_38                108          400
EstimationSeriesSample1_59                108          400
EstimationSeriesSample1_18                108          400
EstimationSeriesSample1_24                108          400
EstimationSeriesSample1_23                108          400
EstimationSeriesSample1_53                108          400
EstimationSeriesSample1_8                 108          400
EstimationSeriesSample1_12                108          400
EstimationSeriesSample1_14                108          400

total: 100 source files, 10800 replicates written
