model,mean_loss,pvalue,in_set,elimination_round
cop_0001_qvarma_p1q1r2,0.12700415022616277,0,0,167
cop_0002_qvarma_p1q1r2,0.13548166088716412,0,0,805
cop_0003_qvarma_p1q1r2,0.12597688352495123,0,0,652
cop_0004_qvarma_p1q1r2,0.12520475475665066,0,0,580
cop_0005_qvarma_p1q1r2,0.12708555889956505,0,0,117
cop_0006_qvarma_p1q1r2,0.12832331158841007,0,0,276
cop_0007_qvarma_p1q1r2,0.12551010103832791,0,0,352
cop_0008_qvarma_p1q1r2,0.12753588687113621,0,0,185
cop_0009_qvarma_p1q1r2,0.12975882302760783,0,0,166
cop_0010_qvarma_p1q1r2,0.13559874304712394,0,0,911
cop_0011_qvarma_p1q1r2,0.12371894368627344,0,0,295
cop_0012_qvarma_p1q1r2,0.13771093288608327,0,0,661
cop_0013_qvarma_p1q1r2,0.13040309201369327,0,0,115
cop_0014_qvarma_p1q1r2,0.1314159729671289,0,0,148
cop_0015_qvarma_p1q1r2,0.13624591703385663,0,0,596
cop_0016_qvarma_p1q1r2,0.12565523385748983,0,0,905
cop_0017_qvarma_p1q1r2,0.12978333790322616,0,0,770
cop_0018_qvarma_p1q1r2,0.13017964967301429,0,0,272
cop_0019_qvarma_p1q1r2,0.12770478373939814,0,0,790
cop_0020_qvarma_p1q1r2,0.13837286449125905,0,0,605
cop_0021_qvarma_p1q1r2,0.13968069345524009,0,0,884
cop_0022_qvarma_p1q1r2,0.12749722836464997,0,0,70
cop_0023_qvarma_p1q1r2,0.13393091467848534,0,0,203
cop_0024_qvarma_p1q1r2,0.12510762438866363,0,0,420
cop_0025_qvarma_p1q1r2,0.13100168301709639,0,0,25
cop_0026_qvarma_p1q1r2,0.13766000361439731,0,0,875
cop_0027_qvarma_p1q1r2,0.12573619543328887,0,0,267
cop_0028_qvarma_p1q1r2,0.13073279548396838,0,0,807
cop_0029_qvarma_p1q1r2,0.13781127969607906,0,0,834
cop_0030_qvarma_p1q1r2,0.12610484370619524,0,0,222
cop_0031_qvarma_p1q1r2,0.12209063359242311,0,0,554
cop_0032_qvarma_p1q1r2,0.12520528966040212,0,0,485
cop_0033_qvarma_p1q1r2,0.13232277731389436,0,0,858
cop_0034_qvarma_p1q1r2,0.13131923386652522,0,0,774
cop_0035_qvarma_p1q1r2,0.12694891254299198,0,0,708
cop_0036_qvarma_p1q1r2,0.12328012796938105,0,0,716
cop_0037_qvarma_p1q1r2,0.12575706680350474,0,0,982
cop_0038_qvarma_p1q1r2,0.13168346624990235,0,0,791
cop_0039_qvarma_p1q1r2,0.13133401416530555,0,0,785
cop_0040_qvarma_p1q1r2,0.12463747387075073,0,0,391
cop_0041_qvarma_p1q1r2,0.1306683539603774,0,0,255
cop_0042_qvarma_p1q1r2,0.1291065505437366,0,0,199
cop_0043_qvarma_p1q1r2,0.13033537807556636,0,0,539
cop_0044_qvarma_p1q1r2,0.1221164775262292,0,0,886
cop_0045_qvarma_p1q1r2,0.12691868260280184,0,0,459
cop_0046_qvarma_p1q1r2,0.13487400540155872,0,0,542
cop_0047_qvarma_p1q1r2,0.12214618495870672,0,0,773
cop_0048_qvarma_p1q1r2,0.13057256692409222,0,0,207
cop_0049_qvarma_p1q1r2,0.13182378571885531,0,0,434
cop_0050_qvarma_p1q1r2,0.12560256796870548,0,0,179
cop_0051_qvarma_p1q1r2,0.13346346491290906,0,0,664
cop_0052_qvarma_p1q1r2,0.15025435653550329,0,0,796
cop_0053_qvarma_p1q1r2,0.13173347417773204,0,0,156
cop_0054_qvarma_p1q1r2,0.12166315399952383,0,0,872
cop_0055_qvarma_p1q1r2,0.14273539759933387,0,0,916
cop_0056_qvarma_p1q1r2,0.131694215467348,0,0,428
cop_0057_qvarma_p1q1r2,0.12256253786330695,0,0,621
cop_0058_qvarma_p1q1r2,0.13131742999637952,0,0,2
cop_0059_qvarma_p1q1r2,0.13101999914856732,0,0,86
cop_0060_qvarma_p1q1r2,0.12828980016452424,0,0,777
cop_0061_qvarma_p1q1r2,0.12450965072364449,0,0,597
cop_0062_qvarma_p1q1r2,0.12954896476373307,0,0,488
cop_0063_qvarma_p1q1r2,0.14387183108617277,0,0,762
