model,mean_loss,pvalue,in_set
EstimationSeriesSample1_1_qvarma_p1q1r2,0.12106207057557748,0,0
EstimationSeriesSample1_2_qvarma_p1q1r2,0.13094682764452054,0,0
EstimationSeriesSample1_3_qvarma_p1q1r2,0.12973480955333294,0,0
EstimationSeriesSample1_4_qvarma_p1q1r2,0.12747170501985433,0,0
EstimationSeriesSample1_5_qvarma_p1q1r2,0.12833927169195383,0,0
EstimationSeriesSample1_6_qvarma_p1q1r2,0.13357590905353481,0,0
EstimationSeriesSample1_7_qvarma_p1q1r2,0.13057073532229918,0,0
EstimationSeriesSample1_8_qvarma_p1q1r2,0.12580911794465011,0,0
EstimationSeriesSample1_9_qvarma_p1q1r2,0.13078322711642601,0,0
EstimationSeriesSample1_10_qvarma_p1q1r2,0.12493447234990619,0,0
EstimationSeriesSample1_11_qvarma_p1q1r2,0.13226767756778871,0,0
EstimationSeriesSample1_12_qvarma_p1q1r2,0.1270532394257865,0,0
EstimationSeriesSample1_13_qvarma_p1q1r2,0.13249925968721699,0,0
EstimationSeriesSample1_14_qvarma_p1q1r2,0.130333315924164,0,0
EstimationSeriesSample1_15_qvarma_p1q1r2,0.11995189897677459,0.1075,1
EstimationSeriesSample1_16_qvarma_p1q1r2,0.12648314746728329,0,0
EstimationSeriesSample1_17_qvarma_p1q1r2,0.13261612570959491,0,0
EstimationSeriesSample1_18_qvarma_p1q1r2,0.1287042108731927,0,0
EstimationSeriesSample1_19_qvarma_p1q1r2,0.13698965612692332,0,0
EstimationSeriesSample1_20_qvarma_p1q1r2,0.12971180453643913,0,0
EstimationSeriesSample1_21_qvarma_p1q1r2,0.12720172596700793,0,0
EstimationSeriesSample1_22_qvarma_p1q1r2,0.12457619942292862,0,0
EstimationSeriesSample1_23_qvarma_p1q1r2,0.14026390654447804,0,0
EstimationSeriesSample1_24_qvarma_p1q1r2,0.12791130686277227,0,0
EstimationSeriesSample1_25_qvarma_p1q1r2,0.12790948844675618,0,0
EstimationSeriesSample1_26_qvarma_p1q1r2,0.13534143452898498,0,0
EstimationSeriesSample1_27_qvarma_p1q1r2,0.127428729350227,0,0
EstimationSeriesSample1_28_qvarma_p1q1r2,0.1277033422739908,0,0
EstimationSeriesSample1_29_qvarma_p1q1r2,0.13016699029789142,0,0
EstimationSeriesSample1_30_qvarma_p1q1r2,0.13175801429656001,0,0
EstimationSeriesSample1_31_qvarma_p1q1r2,0.12645998326044497,0,0
EstimationSeriesSample1_32_qvarma_p1q1r2,0.13159205905807397,0,0
EstimationSeriesSample1_33_qvarma_p1q1r2,0.13578278250785114,0,0
EstimationSeriesSample1_34_qvarma_p1q1r2,0.13957035604132248,0,0
EstimationSeriesSample1_35_qvarma_p1q1r2,0.12939718980769299,0,0
EstimationSeriesSample1_36_qvarma_p1q1r2,0.12603208783950295,0,0
EstimationSeriesSample1_37_qvarma_p1q1r2,0.12397842100151461,0,0
EstimationSeriesSample1_38_qvarma_p1q1r2,0.1245380849774672,0,0
EstimationSeriesSample1_39_qvarma_p1q1r2,0.13295989739919001,0,0
EstimationSeriesSample1_40_qvarma_p1q1r2,0.13116195741495765,0,0
EstimationSeriesSample1_41_qvarma_p1q1r2,0.12413176772270675,0,0
EstimationSeriesSample1_42_qvarma_p1q1r2,0.13812237362929783,0,0
EstimationSeriesSample1_43_qvarma_p1q1r2,0.12249941369222107,0,0
EstimationSeriesSample1_44_qvarma_p1q1r2,0.1303256127030791,0,0
EstimationSeriesSample1_45_qvarma_p1q1r2,0.13214985348976713,0,0
EstimationSeriesSample1_46_qvarma_p1q1r2,0.13009995171843583,0,0
EstimationSeriesSample1_47_qvarma_p1q1r2,0.12325339142528792,0,0
EstimationSeriesSample1_48_qvarma_p1q1r2,0.1294851484363734,0,0
EstimationSeriesSample1_49_qvarma_p1q1r2,0.13095771512584997,0,0
EstimationSeriesSample1_50_qvarma_p1q1r2,0.13100680244262644,0,0
EstimationSeriesSample1_51_qvarma_p1q1r2,0.12774304996068558,0,0
EstimationSeriesSample1_52_qvarma_p1q1r2,0.1389642885325427,0,0
EstimationSeriesSample1_53_qvarma_p1q1r2,0.12963647288057764,0,0
EstimationSeriesSample1_54_qvarma_p1q1r2,0.13046075159765597,0,0
EstimationSeriesSample1_55_qvarma_p1q1r2,0.12880054176099967,0,0
EstimationSeriesSample1_56_qvarma_p1q1r2,0.12800300164666961,0,0
EstimationSeriesSample1_57_qvarma_p1q1r2,0.12669188997920133,0,0
EstimationSeriesSample1_58_qvarma_p1q1r2,0.13404838268570379,0,0
EstimationSeriesSample1_59_qvarma_p1q1r2,0.12606145209164546,0,0
EstimationSeriesSample1_60_qvarma_p1q1r2,0.11954406555139264,0.78500000000000003,1
EstimationSeriesSample1_61_qvarma_p1q1r2,0.12144127166676297,0,0
EstimationSeriesSample1_62_qvarma_p1q1r2,0.13205825934429583,0,0
EstimationSeriesSample1_63_qvarma_p1q1r2,0.13448471309519527,0,0
