model,mean_loss,tr_pvalue,tr_in_set,tr_elimination_round,tmax_pvalue,tmax_in_set,tmax_elimination_round
cop_0001_qvarma_p1q1r2,32299207.210430909,0,0,949,0,0,950
cop_0002_qvarma_p1q1r2,42772336.568294123,0,0,107,0,0,96
cop_0003_qvarma_p1q1r2,34480270.56548962,0,0,777,0,0,773
cop_0004_qvarma_p1q1r2,38104364.364804752,0,0,448,0,0,431
cop_0005_qvarma_p1q1r2,43167854.792558618,0,0,74,0,0,72
cop_0006_qvarma_p1q1r2,39766558.066987209,0,0,257,0,0,286
cop_0007_qvarma_p1q1r2,31920657.316823788,0,0,968,0,0,965
cop_0008_qvarma_p1q1r2,37881157.215042867,0,0,440,0,0,451
cop_0009_qvarma_p1q1r2,34872244.088940024,0,0,736,0,0,735
cop_0010_qvarma_p1q1r2,39995191.808966339,0,0,306,0,0,294
cop_0011_qvarma_p1q1r2,32720061.168699145,0,0,926,0,0,928
cop_0012_qvarma_p1q1r2,44420959.739633478,0,0,39,0,0,36
cop_0013_qvarma_p1q1r2,40695844.959876053,0,0,174,0,0,196
cop_0014_qvarma_p1q1r2,35799590.081827179,0,0,635,0,0,637
cop_0015_qvarma_p1q1r2,39470532.425492756,0,0,267,0,0,306
cop_0016_qvarma_p1q1r2,37083687.430532351,0,0,532,0,0,518
cop_0017_qvarma_p1q1r2,41301370.387528531,0,0,189,0,0,191
cop_0018_qvarma_p1q1r2,34868727.443737976,0,0,752,0,0,738
cop_0019_qvarma_p1q1r2,35139729.420474492,0,0,722,0,0,706
cop_0020_qvarma_p1q1r2,35817224.66469869,0,0,655,0,0,645
cop_0021_qvarma_p1q1r2,43434493.503167726,0,0,52,0,0,65
cop_0022_qvarma_p1q1r2,36269919.124403052,0,0,599,0,0,598
cop_0023_qvarma_p1q1r2,43936866.7743963,0,0,56,0,0,53
cop_0024_qvarma_p1q1r2,38888498.227441967,0,0,350,0,0,366
cop_0025_qvarma_p1q1r2,34759925.545036331,0,0,733,0,0,745
cop_0026_qvarma_p1q1r2,42101900.983003527,0,0,151,0,0,140
cop_0027_qvarma_p1q1r2,34403503.314658128,0,0,781,0,0,779
cop_0028_qvarma_p1q1r2,33005529.996733014,0,0,907,0,0,912
cop_0029_qvarma_p1q1r2,37128873.781634189,0,0,511,0,0,510
cop_0030_qvarma_p1q1r2,38200436.911420122,0,0,384,0,0,402
cop_0031_qvarma_p1q1r2,34754812.247463807,0,0,735,0,0,739
cop_0032_qvarma_p1q1r2,32232789.998007353,0,0,957,0,0,955
cop_0033_qvarma_p1q1r2,35466284.6662172,0,0,709,0,0,679
cop_0034_qvarma_p1q1r2,37067340.006403923,0,0,533,0,0,541
cop_0035_qvarma_p1q1r2,32960976.996405274,0,0,915,0,0,910
cop_0036_qvarma_p1q1r2,32593766.058566879,0,0,933,0,0,939
cop_0037_qvarma_p1q1r2,37901845.196852967,0,0,459,0,0,459
cop_0038_qvarma_p1q1r2,33208371.090143558,0,0,902,0,0,901
cop_0039_qvarma_p1q1r2,40080021.982074954,0,0,234,0,0,280
cop_0040_qvarma_p1q1r2,31411141.155704953,0,0,986,0.030700000000000002,0,987
cop_0041_qvarma_p1q1r2,36922376.603388213,0,0,518,0,0,521
cop_0042_qvarma_p1q1r2,37853504.765795246,0,0,453,0,0,437
cop_0043_qvarma_p1q1r2,37090445.134156786,0,0,516,0,0,509
cop_0044_qvarma_p1q1r2,33286947.058528073,0,0,894,0,0,889
cop_0045_qvarma_p1q1r2,33170447.539866246,0,0,899,0,0,899
cop_0046_qvarma_p1q1r2,42832067.995310694,0,0,92,0,0,105
cop_0047_qvarma_p1q1r2,39134448.680818491,0,0,311,0,0,339
cop_0048_qvarma_p1q1r2,34741445.589868225,0,0,746,0,0,746
cop_0049_qvarma_p1q1r2,35635588.413641371,0,0,642,0,0,662
cop_0050_qvarma_p1q1r2,36095302.783941597,0,0,618,0,0,619
cop_0051_qvarma_p1q1r2,35077757.422386609,0,0,714,0,0,713
cop_0052_qvarma_p1q1r2,35030591.588352866,0,0,720,0,0,723
cop_0053_qvarma_p1q1r2,36938264.268407419,0,0,526,0,0,516
cop_0054_qvarma_p1q1r2,35613803.796457879,0,0,670,0,0,668
cop_0055_qvarma_p1q1r2,36226564.456999093,0,0,604,0,0,603
cop_0056_qvarma_p1q1r2,37563779.154663287,0,0,458,0,0,467
cop_0057_qvarma_p1q1r2,32880289.223125845,0,0,925,0,0,924
cop_0058_qvarma_p1q1r2,35008557.435193427,0,0,726,0,0,725
cop_0059_qvarma_p1q1r2,34050729.671268284,0,0,812,0,0,822
cop_0060_qvarma_p1q1r2,35637327.117671415,0,0,633,0,0,651
cop_0061_qvarma_p1q1r2,36819753.489287242,0,0,510,0,0,535
cop_0062_qvarma_p1q1r2,38357012.145915985,0,0,414,0,0,412
cop_0063_qvarma_p1q1r2,38211817.565570444,0,0,418,0,0,420
cop_0064_qvarma_p1q1r2,39036270.102963969,0,0,301,0,0,329
cop_0065_qvarma_p1q1r2,35961032.843711361,0,0,639,0,0,628
cop_0066_qvarma_p1q1r2,32723675.520920213,0,0,931,0,0,930
cop_0067_qvarma_p1q1r2,44560602.73650302,0,0,25,0,0,29
cop_0068_qvarma_p1q1r2,38658479.323131561,0,0,370,0,0,373
cop_0069_qvarma_p1q1r2,34669611.138901189,0,0,761,0,0,754
cop_0070_qvarma_p1q1r2,33466078.613306366,0,0,870,0,0,868
cop_0071_qvarma_p1q1r2,35585954.738618165,0,0,679,0,0,673
cop_0072_qvarma_p1q1r2,40263286.696787789,0,0,251,0,0,256
cop_0073_qvarma_p1q1r2,33352521.593468089,0,0,881,0,0,881
cop_0074_qvarma_p1q1r2,36888327.001975156,0,0,542,0,0,529
cop_0075_qvarma_p1q1r2,38847350.466805011,0,0,365,0,0,358
cop_0076_qvarma_p1q1r2,36898633.521801069,0,0,547,0,0,538
cop_0077_qvarma_p1q1r2,40799783.119286627,0,0,222,0,0,215
cop_0078_qvarma_p1q1r2,31505515.596359368,0,0,982,0.0103,0,982
cop_0079_qvarma_p1q1r2,41801658.065692171,0,0,140,0,0,154
cop_0080_qvarma_p1q1r2,34546394.95731888,0,0,765,0,0,756
cop_0081_qvarma_p1q1r2,35170695.14478194,0,0,706,0,0,703
cop_0082_qvarma_p1q1r2,46854171.663019791,0,0,4,0,0,4
cop_0083_qvarma_p1q1r2,42779227.44865796,0,0,121,0,0,106
cop_0084_qvarma_p1q1r2,41809753.383449137,0,0,145,0,0,147
cop_0085_qvarma_p1q1r2,42824517.291552804,0,0,104,0,0,84
cop_0086_qvarma_p1q1r2,38301595.604353361,0,0,394,0,0,419
cop_0087_qvarma_p1q1r2,38410686.682931475,0,0,412,0,0,404
cop_0088_qvarma_p1q1r2,33360562.535447005,0,0,876,0,0,879
cop_0089_qvarma_p1q1r2,40234313.195682615,0,0,245,0,0,249
cop_0090_qvarma_p1q1r2,37456382.564114198,0,0,475,0,0,478
cop_0091_qvarma_p1q1r2,32983401.057694934,0,0,922,0,0,918
cop_0092_qvarma_p1q1r2,40548297.196547151,0,0,210,0,0,211
cop_0093_qvarma_p1q1r2,43486737.304130502,0,0,70,0,0,67
cop_0094_qvarma_p1q1r2,40107785.549489625,0,0,240,0,0,259
cop_0095_qvarma_p1q1r2,35292480.659968272,0,0,695,0,0,692
cop_0096_qvarma_p1q1r2,36762745.355524413,0,0,554,0,0,555
cop_0097_qvarma_p1q1r2,35767506.562123463,0,0,657,0,0,648
cop_0098_qvarma_p1q1r2,41102699.555435784,0,0,183,0,0,188
cop_0099_qvarma_p1q1r2,37335323.108185448,0,0,499,0,0,494
cop_0100_qvarma_p1q1r2,34598297.364385575,0,0,745,0,0,758
cop_0101_qvarma_p1q1r2,36666824.330620669,0,0,567,0,0,566
cop_0102_qvarma_p1q1r2,38264585.495963626,0,0,399,0,0,409
cop_0103_qvarma_p1q1r2,38329333.837651208,0,0,420,0,0,417
cop_0104_qvarma_p1q1r2,41717259.006687127,0,0,175,0,0,168
cop_0105_qvarma_p1q1r2,41751772.908942051,0,0,176,0,0,182
cop_0106_qvarma_p1q1r2,38380609.869543746,0,0,407,0,0,408
cop_0107_qvarma_p1q1r2,33485138.919936989,0,0,872,0,0,870
cop_0108_qvarma_p1q1r2,44771052.552355386,0,0,26,0,0,27
cop_0109_qvarma_p1q1r2,33539209.449568983,0,0,867,0,0,865
cop_0110_qvarma_p1q1r2,34049469.175643981,0,0,810,0,0,808
cop_0111_qvarma_p1q1r2,47321569.095985234,0,0,3,0,0,3
cop_0112_qvarma_p1q1r2,35724724.279983744,0,0,671,0,0,657
cop_0113_qvarma_p1q1r2,32295736.478146583,0,0,948,0,0,948
cop_0114_qvarma_p1q1r2,42764683.712146848,0,0,111,0,0,120
cop_0115_qvarma_p1q1r2,39509714.158698119,0,0,308,0,0,313
cop_0116_qvarma_p1q1r2,38789028.31193056,0,0,381,0,0,369
cop_0117_qvarma_p1q1r2,35322832.174698934,0,0,698,0,0,687
cop_0118_qvarma_p1q1r2,39140335.363307379,0,0,330,0,0,332
cop_0119_qvarma_p1q1r2,33409994.348991774,0,0,889,0,0,876
cop_0120_qvarma_p1q1r2,34084400.59945675,0,0,804,0,0,803
cop_0121_qvarma_p1q1r2,35874158.11465472,0,0,663,0,0,639
cop_0122_qvarma_p1q1r2,41153923.330791637,0,0,200,0,0,197
cop_0123_qvarma_p1q1r2,33758982.800622277,0,0,844,0,0,845
cop_0124_qvarma_p1q1r2,40295383.563842282,0,0,232,0,0,230
cop_0125_qvarma_p1q1r2,39500660.912949048,0,0,295,0,0,301
cop_0126_qvarma_p1q1r2,45013929.728319161,0,0,23,0,0,28
cop_0127_qvarma_p1q1r2,41892082.427261189,0,0,144,0,0,148
cop_0128_qvarma_p1q1r2,33743791.000307955,0,0,847,0,0,847
cop_0129_qvarma_p1q1r2,34955889.047494575,0,0,738,0,0,734
cop_0130_qvarma_p1q1r2,38028416.655504696,0,0,430,0,0,445
cop_0131_qvarma_p1q1r2,36511275.173686862,0,0,603,0,0,590
cop_0132_qvarma_p1q1r2,40470607.220072463,0,0,259,0,0,235
cop_0133_qvarma_p1q1r2,37114442.552948393,0,0,491,0,0,500
cop_0134_qvarma_p1q1r2,35375548.449429251,0,0,683,0,0,685
cop_0135_qvarma_p1q1r2,32279591.379058089,0,0,953,0,0,952
cop_0136_qvarma_p1q1r2,36511149.345674552,0,0,571,0,0,572
cop_0137_qvarma_p1q1r2,38771943.488907896,0,0,388,0,0,375
cop_0138_qvarma_p1q1r2,41404628.462326936,0,0,188,0,0,183
cop_0139_qvarma_p1q1r2,35250283.862794682,0,0,705,0,0,702
cop_0140_qvarma_p1q1r2,36372522.962122485,0,0,596,0,0,594
cop_0141_qvarma_p1q1r2,36608332.964868367,0,0,578,0,0,569
cop_0142_qvarma_p1q1r2,36517773.162416741,0,0,580,0,0,584
cop_0143_qvarma_p1q1r2,35031308.379365303,0,0,715,0,0,717
cop_0144_qvarma_p1q1r2,42340368.27045358,0,0,83,0,0,126
cop_0145_qvarma_p1q1r2,38920806.646924637,0,0,385,0,0,379
cop_0146_qvarma_p1q1r2,32037320.945246674,0,0,961,0,0,961
cop_0147_qvarma_p1q1r2,34702332.937907599,0,0,749,0,0,747
cop_0148_qvarma_p1q1r2,37072215.331189454,0,0,512,0,0,522
cop_0149_qvarma_p1q1r2,41305488.852914564,0,0,216,0,0,202
cop_0150_qvarma_p1q1r2,42410016.551569112,0,0,129,0,0,102
cop_0151_qvarma_p1q1r2,41156026.619164996,0,0,191,0,0,198
cop_0152_qvarma_p1q1r2,40227143.958801553,0,0,278,0,0,265
cop_0153_qvarma_p1q1r2,39038574.73873277,0,0,312,0,0,346
cop_0154_qvarma_p1q1r2,45786734.233335644,0,0,13,0,0,12
cop_0155_qvarma_p1q1r2,34051032.561126888,0,0,825,0,0,817
cop_0156_qvarma_p1q1r2,32860181.286510225,0,0,923,0,0,922
cop_0157_qvarma_p1q1r2,37172834.482739441,0,0,549,0,0,534
cop_0158_qvarma_p1q1r2,39046159.630527563,0,0,347,0,0,341
cop_0159_qvarma_p1q1r2,33585766.435806438,0,0,856,0,0,860
cop_0160_qvarma_p1q1r2,39942093.625052184,0,0,291,0,0,275
cop_0161_qvarma_p1q1r2,37294300.977855965,0,0,486,0,0,495
cop_0162_qvarma_p1q1r2,44139243.798413746,0,0,42,0,0,45
cop_0163_qvarma_p1q1r2,33701894.054480754,0,0,857,0,0,859
cop_0164_qvarma_p1q1r2,38210865.334405333,0,0,431,0,0,413
