model,mean_loss,tr_pvalue,tr_in_set,tr_elimination_round,tmax_pvalue,tmax_in_set,tmax_elimination_round
cop_0001_qvarma_p1q1r2,10177.449219821228,0,0,970,0,0,970
cop_0002_qvarma_p1q1r2,22312.007233870918,0,0,51,0,0,36
cop_0003_qvarma_p1q1r2,12685.727403988089,0,0,688,0,0,680
cop_0004_qvarma_p1q1r2,15994.026373756711,0,0,374,0,0,360
cop_0005_qvarma_p1q1r2,18824.008620508965,0,0,102,0,0,150
cop_0006_qvarma_p1q1r2,16368.199347615091,0,0,312,0,0,310
cop_0007_qvarma_p1q1r2,10353.448492439833,0,0,954,0,0,953
cop_0008_qvarma_p1q1r2,14655.954960347803,0,0,415,0,0,443
cop_0009_qvarma_p1q1r2,11468.388610746242,0,0,804,0,0,814
cop_0010_qvarma_p1q1r2,17647.588845944807,0,0,229,0,0,222
cop_0011_qvarma_p1q1r2,10524.517346977895,0,0,932,0,0,932
cop_0012_qvarma_p1q1r2,22353.451551693895,0,0,107,0,0,48
cop_0013_qvarma_p1q1r2,15688.563652841924,0,0,318,0,0,344
cop_0014_qvarma_p1q1r2,12291.356746866702,0,0,723,0,0,719
cop_0015_qvarma_p1q1r2,16198.661554768325,0,0,302,0,0,306
cop_0016_qvarma_p1q1r2,15001.302126877174,0,0,440,0,0,436
cop_0017_qvarma_p1q1r2,18260.375779198283,0,0,161,0,0,185
cop_0018_qvarma_p1q1r2,12277.538882219098,0,0,720,0,0,722
cop_0019_qvarma_p1q1r2,13036.502901830563,0,0,639,0,0,640
cop_0020_qvarma_p1q1r2,14254.005058730527,0,0,520,0,0,508
cop_0021_qvarma_p1q1r2,21001.519573259066,0,0,39,0,0,45
cop_0022_qvarma_p1q1r2,12106.684635037804,0,0,749,0,0,741
cop_0023_qvarma_p1q1r2,18466.857946449316,0,0,105,0,0,141
cop_0024_qvarma_p1q1r2,15866.611862094276,0,0,349,0,0,345
cop_0025_qvarma_p1q1r2,10939.547267061502,0,0,893,0,0,889
cop_0026_qvarma_p1q1r2,20296.504649672519,0,0,188,0,0,130
cop_0027_qvarma_p1q1r2,12326.503053951956,0,0,717,0,0,715
cop_0028_qvarma_p1q1r2,12143.012060663241,0,0,754,0,0,743
cop_0029_qvarma_p1q1r2,14904.389176507293,0,0,404,0,0,429
cop_0030_qvarma_p1q1r2,14504.448402644006,0,0,451,0,0,452
cop_0031_qvarma_p1q1r2,11711.054041826281,0,0,784,0,0,788
cop_0032_qvarma_p1q1r2,10497.053938342782,0,0,935,0,0,936
cop_0033_qvarma_p1q1r2,13477.510288861138,0,0,571,0,0,590
cop_0034_qvarma_p1q1r2,13721.219249070109,0,0,573,0,0,567
cop_0035_qvarma_p1q1r2,11554.225501043109,0,0,803,0,0,801
cop_0036_qvarma_p1q1r2,11739.081084332978,0,0,785,0,0,783
cop_0037_qvarma_p1q1r2,14110.379377689804,0,0,518,0,0,514
cop_0038_qvarma_p1q1r2,11046.761341104524,0,0,878,0,0,878
cop_0039_qvarma_p1q1r2,17351.116682111922,0,0,192,0,0,226
cop_0040_qvarma_p1q1r2,10155.041177056943,0,0,971,0,0,971
cop_0041_qvarma_p1q1r2,12951.028970804849,0,0,654,0,0,652
cop_0042_qvarma_p1q1r2,14845.365813203145,0,0,432,0,0,431
cop_0043_qvarma_p1q1r2,14328.19378153768,0,0,497,0,0,478
cop_0044_qvarma_p1q1r2,12134.326257757291,0,0,740,0,0,740
cop_0045_qvarma_p1q1r2,11778.654191322637,0,0,769,0,0,778
cop_0046_qvarma_p1q1r2,18186.921335721541,0,0,149,0,0,172
cop_0047_qvarma_p1q1r2,15188.425850208039,0,0,411,0,0,400
cop_0048_qvarma_p1q1r2,11875.663004913371,0,0,768,0,0,765
cop_0049_qvarma_p1q1r2,12033.259244684372,0,0,735,0,0,749
cop_0050_qvarma_p1q1r2,12284.211279807936,0,0,718,0,0,717
cop_0051_qvarma_p1q1r2,13365.720189593476,0,0,603,0,0,600
cop_0052_qvarma_p1q1r2,14045.980700558153,0,0,512,0,0,515
cop_0053_qvarma_p1q1r2,13041.585717537664,0,0,630,0,0,635
cop_0054_qvarma_p1q1r2,14026.984731838305,0,0,522,0,0,518
cop_0055_qvarma_p1q1r2,13565.262326833454,0,0,591,0,0,578
cop_0056_qvarma_p1q1r2,13304.522347471891,0,0,616,0,0,613
cop_0057_qvarma_p1q1r2,10708.580919062608,0,0,910,0,0,908
cop_0058_qvarma_p1q1r2,10439.62881147929,0,0,948,0,0,946
cop_0059_qvarma_p1q1r2,11215.617398466857,0,0,853,0,0,854
cop_0060_qvarma_p1q1r2,11770.097245911113,0,0,779,0,0,781
cop_0061_qvarma_p1q1r2,13772.118581391849,0,0,539,0,0,546
cop_0062_qvarma_p1q1r2,16839.36343116036,0,0,301,0,0,291
cop_0063_qvarma_p1q1r2,16806.378350491555,0,0,298,0,0,297
cop_0064_qvarma_p1q1r2,14787.805426703373,0,0,421,0,0,428
cop_0065_qvarma_p1q1r2,13675.642787177665,0,0,565,0,0,565
cop_0066_qvarma_p1q1r2,11142.513957312873,0,0,868,0,0,863
cop_0067_qvarma_p1q1r2,20412.155927741293,0,0,31,0,0,61
cop_0068_qvarma_p1q1r2,15039.291602962863,0,0,417,0,0,413
cop_0069_qvarma_p1q1r2,11339.785237669485,0,0,836,0,0,839
cop_0070_qvarma_p1q1r2,11637.302458492799,0,0,788,0,0,790
cop_0071_qvarma_p1q1r2,12950.687552111514,0,0,658,0,0,654
cop_0072_qvarma_p1q1r2,16302.125886120506,0,0,295,0,0,301
cop_0073_qvarma_p1q1r2,11044.540481871263,0,0,879,0,0,881
cop_0074_qvarma_p1q1r2,14684.131606678777,0,0,460,0,0,460
cop_0075_qvarma_p1q1r2,16611.685333061207,0,0,305,0,0,296
cop_0076_qvarma_p1q1r2,12429.227893141408,0,0,708,0,0,709
cop_0077_qvarma_p1q1r2,17214.069729234801,0,0,230,0,0,247
cop_0078_qvarma_p1q1r2,10263.644090145033,0,0,960,0,0,960
cop_0079_qvarma_p1q1r2,19622.988968827485,0,0,160,0,0,135
cop_0080_qvarma_p1q1r2,10704.903781821278,0,0,907,0,0,909
cop_0081_qvarma_p1q1r2,12986.082384154577,0,0,649,0,0,644
cop_0082_qvarma_p1q1r2,23738.094809653547,0,0,9,0,0,10
cop_0083_qvarma_p1q1r2,20257.750115974148,0,0,151,0,0,105
cop_0084_qvarma_p1q1r2,18820.258741146718,0,0,139,0,0,142
cop_0085_qvarma_p1q1r2,17909.157136684167,0,0,200,0,0,198
cop_0086_qvarma_p1q1r2,15916.997182418881,0,0,341,0,0,334
cop_0087_qvarma_p1q1r2,14157.242241621343,0,0,504,0,0,513
cop_0088_qvarma_p1q1r2,10884.393427673931,0,0,889,0,0,893
cop_0089_qvarma_p1q1r2,19859.709743181858,0,0,207,0,0,144
cop_0090_qvarma_p1q1r2,13122.004221891502,0,0,626,0,0,630
cop_0091_qvarma_p1q1r2,10849.945552635954,0,0,902,0,0,899
cop_0092_qvarma_p1q1r2,16249.524094337072,0,0,273,0,0,299
cop_0093_qvarma_p1q1r2,19899.058632710705,0,0,115,0,0,100
cop_0094_qvarma_p1q1r2,15713.592501490426,0,0,324,0,0,330
cop_0095_qvarma_p1q1r2,12824.552940235772,0,0,645,0,0,661
cop_0096_qvarma_p1q1r2,15586.194083896242,0,0,416,0,0,399
cop_0097_qvarma_p1q1r2,12482.812058868696,0,0,707,0,0,705
cop_0098_qvarma_p1q1r2,16467.041297405809,0,0,307,0,0,304
cop_0099_qvarma_p1q1r2,14711.508702168128,0,0,459,0,0,442
cop_0100_qvarma_p1q1r2,12646.522543165476,0,0,697,0,0,693
cop_0101_qvarma_p1q1r2,13868.146785472059,0,0,532,0,0,535
cop_0102_qvarma_p1q1r2,14467.174346992851,0,0,473,0,0,463
cop_0103_qvarma_p1q1r2,14006.287243905628,0,0,523,0,0,525
cop_0104_qvarma_p1q1r2,19967.896579658456,0,0,104,0,0,102
cop_0105_qvarma_p1q1r2,20564.146074762713,0,0,114,0,0,90
cop_0106_qvarma_p1q1r2,14262.686419950502,0,0,499,0,0,485
cop_0107_qvarma_p1q1r2,12681.878729379037,0,0,680,0,0,685
cop_0108_qvarma_p1q1r2,24768.690512424633,0,0,32,0,0,8
cop_0109_qvarma_p1q1r2,11900.767665396363,0,0,772,0,0,764
cop_0110_qvarma_p1q1r2,11623.751699298535,0,0,791,0,0,792
cop_0111_qvarma_p1q1r2,23978.98894406217,0,0,1,0,0,2
cop_0112_qvarma_p1q1r2,12622.511312272733,0,0,684,0,0,687
cop_0113_qvarma_p1q1r2,10674.456455368529,0,0,912,0,0,912
cop_0114_qvarma_p1q1r2,20238.320742426968,0,0,59,0,0,79
cop_0115_qvarma_p1q1r2,14838.011981369295,0,0,424,0,0,430
cop_0116_qvarma_p1q1r2,14559.861932647787,0,0,455,0,0,453
cop_0117_qvarma_p1q1r2,11776.518654913922,0,0,787,0,0,786
cop_0118_qvarma_p1q1r2,15738.841440977843,0,0,327,0,0,335
cop_0119_qvarma_p1q1r2,12175.617221846596,0,0,714,0,0,730
cop_0120_qvarma_p1q1r2,11063.871288664315,0,0,874,0,0,874
cop_0121_qvarma_p1q1r2,12691.0381152312,0,0,690,0,0,684
cop_0122_qvarma_p1q1r2,19305.549450951465,0,0,182,0,0,160
cop_0123_qvarma_p1q1r2,12229.23780954914,0,0,725,0,0,724
cop_0124_qvarma_p1q1r2,15718.857231994023,0,0,337,0,0,341
cop_0125_qvarma_p1q1r2,17344.446500103215,0,0,283,0,0,264
cop_0126_qvarma_p1q1r2,22193.641620297189,0,0,43,0,0,29
cop_0127_qvarma_p1q1r2,18109.377907754257,0,0,156,0,0,181
cop_0128_qvarma_p1q1r2,11805.464697576235,0,0,770,0,0,775
cop_0129_qvarma_p1q1r2,13429.277159780253,0,0,607,0,0,604
cop_0130_qvarma_p1q1r2,13504.727575667046,0,0,597,0,0,589
cop_0131_qvarma_p1q1r2,14604.543141614755,0,0,453,0,0,462
cop_0132_qvarma_p1q1r2,17628.659456148467,0,0,255,0,0,234
cop_0133_qvarma_p1q1r2,14617.338243139764,0,0,441,0,0,444
cop_0134_qvarma_p1q1r2,11916.088776324519,0,0,774,0,0,770
cop_0135_qvarma_p1q1r2,11391.467627283795,0,0,849,0,0,831
cop_0136_qvarma_p1q1r2,14071.559409058602,0,0,487,0,0,492
cop_0137_qvarma_p1q1r2,15586.635586250532,0,0,386,0,0,387
cop_0138_qvarma_p1q1r2,18133.464680598758,0,0,239,0,0,214
cop_0139_qvarma_p1q1r2,11918.731719998001,0,0,771,0,0,763
cop_0140_qvarma_p1q1r2,13241.816941090758,0,0,610,0,0,617
cop_0141_qvarma_p1q1r2,13434.319276341083,0,0,622,0,0,599
cop_0142_qvarma_p1q1r2,14030.767749193317,0,0,528,0,0,534
cop_0143_qvarma_p1q1r2,11889.572938767058,0,0,757,0,0,766
cop_0144_qvarma_p1q1r2,18252.907301318424,0,0,191,0,0,193
cop_0145_qvarma_p1q1r2,15248.804298785508,0,0,365,0,0,394
cop_0146_qvarma_p1q1r2,10623.852199810843,0,0,919,0,0,920
cop_0147_qvarma_p1q1r2,13226.970667625463,0,0,623,0,0,623
cop_0148_qvarma_p1q1r2,13877.93392803857,0,0,525,0,0,542
cop_0149_qvarma_p1q1r2,21628.001469477444,0,0,135,0,0,86
cop_0150_qvarma_p1q1r2,18000.43163534797,0,0,212,0,0,207
cop_0151_qvarma_p1q1r2,18241.191288316666,0,0,186,0,0,179
cop_0152_qvarma_p1q1r2,17482.958735980566,0,0,241,0,0,246
cop_0153_qvarma_p1q1r2,15497.162732710152,0,0,357,0,0,372
cop_0154_qvarma_p1q1r2,22449.760604197127,0,0,24,0,0,20
cop_0155_qvarma_p1q1r2,11551.84450556611,0,0,808,0,0,806
cop_0156_qvarma_p1q1r2,10500.847117666752,0,0,936,0,0,937
cop_0157_qvarma_p1q1r2,14021.018822121387,0,0,493,0,0,511
cop_0158_qvarma_p1q1r2,17944.212482897088,0,0,258,0,0,242
cop_0159_qvarma_p1q1r2,11339.084549316114,0,0,825,0,0,829
cop_0160_qvarma_p1q1r2,17326.368726584293,0,0,268,0,0,269
cop_0161_qvarma_p1q1r2,14873.805566379353,0,0,426,0,0,421
cop_0162_qvarma_p1q1r2,19676.348707509558,0,0,33,0,0,78
cop_0163_qvarma_p1q1r2,12126.43819929946,0,0,730,0,0,745
cop_0164_qvarma_p1q1r2,15725.601849326895,0,0,393,0,0,375
cop_0165_qvarma_p1q1r2,10074.270970337644,0,0,981,0.0001,0,979
cop_0166_qvarma_p1q1r2,13927.885941483171,0,0,529,0,0,545
