configuration,nu_rank,median_nu,n_replicates,gdp_growth_variance_t400,gdp_growth_skewness_t400,gdp_growth_excess_kurtosis_t400,energy_growth_variance_t400,energy_growth_skewness_t400,energy_growth_excess_kurtosis_t400,employment_change_variance_t400,employment_change_skewness_t400,employment_change_excess_kurtosis_t400,inflation_variance_t400,inflation_skewness_t400,inflation_excess_kurtosis_t400,interest_rate_variance_t400,interest_rate_skewness_t400,interest_rate_excess_kurtosis_t400,interest_rate_change_variance_t400,interest_rate_change_skewness_t400,interest_rate_change_excess_kurtosis_t400,gdp_growth_variance_t187,gdp_growth_skewness_t187,gdp_growth_excess_kurtosis_t187,energy_growth_variance_t187,energy_growth_skewness_t187,energy_growth_excess_kurtosis_t187,employment_change_variance_t187,employment_change_skewness_t187,employment_change_excess_kurtosis_t187,inflation_variance_t187,inflation_skewness_t187,inflation_excess_kurtosis_t187,interest_rate_variance_t187,interest_rate_skewness_t187,interest_rate_excess_kurtosis_t187,interest_rate_change_variance_t187,interest_rate_change_skewness_t187,interest_rate_change_excess_kurtosis_t187
cop_0001,936,3504.697206,1000,1.1392832,0.066144561,0.12161422,1.1412033,0.048643776,0.14347976,0.91719614,0.058085721,0.1245176,0.028294893,0.032166681,0.17106902,0.02022919,0.067786231,-0.047387569,0.0021546786,-0.031326174,0.018578888,1.1180029,0.058992931,0.050570741,1.0914802,0.031000397,0.043050087,0.8994018,0.048078303,0.053582715,0.027604099,0.019896561,0.064252708,0.018987954,0.062132979,-0.22138741,0.002042174,-0.023138014,-0.116615
cop_0002,707,1262.413304,1000,3.1466982,-0.027334885,2.6867404,3.1698385,-0.038387351,2.7035028,2.6598568,-0.04163921,2.522841,0.31417399,-0.43678835,2.1573432,0.073012666,0.027523739,-0.032782751,0.012605917,0.016829305,0.24097462,3.0185437,-0.014896455,1.9389487,2.9915827,-0.042993992,1.9609091,2.5630819,-0.038924647,1.9037296,0.30460226,-0.36763782,1.6902158,0.069331293,0.033605978,-0.16774165,0.012265122,0.02887012,0.14729863
cop_0003,353,491.4982439,1000,1.5066687,0.056486944,0.24536396,1.5111653,0.03648014,0.28337636,1.2300911,0.04130456,0.27527591,0.22234905,-0.022859175,0.20255499,0.042399372,0.030449839,-0.065468542,0.0075325204,-0.010370087,0.011297873,1.4895539,0.056236047,0.11880111,1.4572102,0.024341444,0.1286591,1.2150675,0.035403533,0.13535371,0.21868864,-0.005765502,0.11317318,0.04069142,0.022599398,-0.20281774,0.0073725841,-0.019141437,-0.096909179
cop_0004,264,396.7824867,1000,2.024682,-0.054764608,1.4728379,2.0611052,-0.072010395,1.5190698,1.6938086,-0.070291119,1.4855432,0.14920344,-0.20440129,1.6297726,0.066556714,0.092602452,0.14226574,0.015879992,0.043762836,0.29889822,1.9740959,-0.044052347,0.9457341,1.9445484,-0.075370368,0.96642917,1.6478986,-0.062768444,0.94160135,0.14463492,-0.17421926,1.1363137,0.062425753,0.063283959,-0.037162087,0.015330524,0.050233655,0.12367945
cop_0005,926,3240.109889,1000,2.3673003,0.011396228,1.318626,2.3623795,-0.0059443523,1.3881452,1.9866047,-0.0082010926,1.346502,0.044218845,-0.071432325,0.89949398,0.030625495,0.12845485,0.079615565,0.0042181106,-0.05910379,0.27256541,2.2857871,0.0047987312,0.87049704,2.2474108,-0.025612941,0.94008214,1.9037025,-0.015196335,0.91823466,0.042017604,-0.080138114,0.60089604,0.02872265,0.11203102,-0.083232132,0.004101446,-0.045582337,0.10804642
cop_0006,736,1381.102839,1000,2.0383525,-0.087411452,1.5294261,2.0564807,-0.099685456,1.6049328,1.6965331,-0.11439174,1.5309217,0.044426698,-0.2086148,1.7916125,0.016317932,0.051991795,0.098044386,0.0036147877,0.087614655,0.35167548,1.9604148,-0.082849247,1.1129947,1.9564205,-0.1007287,1.1684356,1.644983,-0.10699584,1.1160565,0.042939798,-0.18148131,1.3247564,0.01612499,0.050412366,-0.020474216,0.0035359648,0.085067715,0.18825873
cop_0007,330,462.1125775,1000,1.2164676,0.067595837,0.10299783,1.2119895,0.048266354,0.1277249,0.98100392,0.06098482,0.11221498,0.16469017,0.059210365,0.13193436,0.02710744,0.062489041,-0.035512996,0.0034073785,-0.034957716,0.0088547753,1.1931228,0.068367587,0.04272242,1.1710609,0.043578864,0.048928201,0.96663365,0.061249685,0.034574881,0.16155827,0.05309979,0.052185942,0.025393055,0.051266155,-0.2286411,0.0032763406,-0.02502208,-0.111921
cop_0008,153,273.5180569,1000,1.7881268,-0.0776829,1.2923637,1.8199494,-0.094091071,1.2985624,1.4902558,-0.0989743,1.2659631,0.064523052,-0.21109992,1.557514,0.024812887,0.038918031,0.10019578,0.0060960477,0.10083732,0.46407617,1.7373077,-0.052381422,0.8228043,1.7393651,-0.08009672,0.85500504,1.4503387,-0.079156805,0.83163459,0.063214221,-0.18210741,1.0293094,0.024138251,0.030340982,-0.061316384,0.0059592228,0.090207478,0.257496
cop_0009,160,278.7881881,1000,1.341898,0.014538985,0.45903887,1.3491803,-0.010660042,0.47279345,1.0957539,-0.0011393236,0.4821798,0.062269787,-0.061899938,0.63944851,0.016418208,-0.0081282246,0.11831879,0.0045166948,-0.010684959,0.33602367,1.307932,0.028729379,0.27290528,1.2911707,0.0074078724,0.28411573,1.0636934,0.012098694,0.29035378,0.060397351,-0.03515029,0.37989708,0.015243376,-0.0055094794,-0.083257913,0.0043168496,0.00027757698,0.14462367
cop_0010,417,578.1481624,1000,2.1733088,0.05422463,0.69193982,2.1714984,0.044484772,0.7112834,1.7988773,0.040209199,0.70477841,0.25898825,-0.11346258,0.53544731,0.051463743,0.039111112,-0.065228798,0.0087830511,0.035958675,0.065023432,2.1434406,0.043956957,0.42629581,2.0841478,0.023594468,0.44680073,1.7484908,0.031871233,0.44100009,0.25388506,-0.09801631,0.3446493,0.048767356,0.01577737,-0.19728715,0.0085926749,0.035853887,-0.061166715
cop_0011,685,1155.659007,1000,1.1728571,0.06355719,0.10586848,1.186942,0.04397727,0.12523322,0.94987066,0.044799446,0.12288727,0.037693379,-0.017735399,0.12880111,0.018153376,0.011454987,-0.035841621,0.0036164011,-0.014964927,0.0027088627,1.1605308,0.074055416,0.017030201,1.1303624,0.051285617,0.019091288,0.93227628,0.053136189,0.03608236,0.03711695,-0.016287362,0.051554403,0.017715934,0.0089402532,-0.17169299,0.0035450809,-0.0059700606,-0.12227375
cop_0012,678,1119.071859,1000,3.0666463,-0.047071768,2.5397445,3.1126082,-0.057571536,2.578853,2.5923811,-0.0698535,2.4714605,0.12040149,-0.27236959,2.4942185,0.010624952,0.030833602,-0.030140945,0.0012642543,0.12897558,0.62784464,2.9354283,-0.040840531,1.8285599,2.9298512,-0.05655869,1.9815096,2.4958865,-0.064351505,1.7782739,0.11617664,-0.22877736,1.8956655,0.010370961,0.030120534,-0.2151835,0.0012490949,0.10764741,0.42589945
cop_0013,314,447.2750273,1000,1.8531358,0.043844193,0.51351966,1.8595167,0.037590933,0.54491694,1.5146648,0.035141466,0.53823889,0.035505554,-0.049813483,0.73649997,0.011081998,0.044155238,0.040399505,0.003183136,0.064006133,0.2639237,1.8234842,0.041524737,0.31627562,1.7931322,0.032003618,0.32989625,1.5003935,0.027152052,0.31278953,0.034956764,-0.032311255,0.38663759,0.010822132,0.042361702,-0.090153402,0.0031237072,0.066349606,0.10648928
cop_0014,844,2207.805088,1000,1.4123435,0.00016488618,0.55666866,1.4037066,-0.022878641,0.61921876,1.1706629,-0.015070987,0.58792021,0.020938311,-0.082624981,0.77525507,0.0077952697,0.10762854,0.021526435,0.00079807774,-0.023394908,0.18283369,1.3887422,0.017813581,0.38420684,1.3554598,-0.008896173,0.38727464,1.1525433,0.0032075258,0.38637869,0.020257286,-0.092013609,0.50586142,0.0071972491,0.071743278,-0.16561206,0.00076827798,-0.0084219596,0.028280065
