configuration,mean_loss,median_nu,share_nu_above_100,mean_irf_magnitude
cop_0001,0.1270041502,3504.697206,0.905,0.02145515323
cop_0002,0.1354816609,1262.413304,0.911,0.05051377546
cop_0003,0.1259768835,491.4982439,0.938,0.03392494988
cop_0004,0.1252047548,396.7824867,0.787,0.04202414863
cop_0005,0.1270855589,3240.109889,0.986,0.02985059139
cop_0006,0.1283233116,1381.102839,0.894,0.03026551123
cop_0007,0.125510101,462.1125775,0.93,0.02660756826
cop_0008,0.1275358869,273.5180569,0.902,0.03191326211
cop_0009,0.129758823,278.7881881,0.968,0.02878066145
cop_0010,0.135598743,578.1481624,0.947,0.04459717485
cop_0011,0.1237189437,1155.659007,0.918,0.02537362357
cop_0012,0.1377109329,1119.071859,0.972,0.03353748688
cop_0013,0.130403092,447.2750273,0.987,0.02890140569
cop_0014,0.131415973,2207.805088,0.762,0.02218834523
cop_0015,0.136245917,7653.985901,0.901,0.02805722192
cop_0016,0.1256552339,1805.753042,0.936,0.03992945238
cop_0017,0.1297833379,756.3753638,0.947,0.03669124269
cop_0018,0.1301796497,314.9482156,0.98,0.03146615656
cop_0019,0.1277047837,2463.688243,0.967,0.03027857385
cop_0020,0.1383728645,1353.400185,0.777,0.02859828305
cop_0021,0.1396806935,820.1479156,0.978,0.0408113667
cop_0022,0.1274972284,820.5887176,0.805,0.02281052374
cop_0023,0.1339309147,3438.04448,0.962,0.02903833457
cop_0024,0.1251076244,4056.476818,0.978,0.03340446866
cop_0025,0.131001683,63.89843803,0.436,0.01686896593
cop_0026,0.1376600036,705.1139369,0.965,0.04059680343
cop_0027,0.1257361954,1163.887292,0.91,0.02925056157
cop_0028,0.1307327955,1327.802979,0.889,0.02555625004
cop_0029,0.1378112797,1272.165234,0.986,0.03337733608
cop_0030,0.1261048437,2156.169609,0.909,0.02898350582
cop_0031,0.1220906336,1313.955751,0.857,0.02910585481
cop_0032,0.1252052897,200.5257336,0.76,0.0334224517
cop_0033,0.1323227773,1336.882773,0.984,0.03053804484
cop_0034,0.1313192339,644.5669612,0.966,0.02508917271
cop_0035,0.1269489125,397.8942873,0.935,0.03035838246
cop_0036,0.123280128,194.6250015,0.697,0.04068736442
cop_0037,0.1257570668,1411.585952,0.954,0.03122668816
cop_0038,0.1316834662,693.4975275,0.994,0.02425505464
cop_0039,0.1313340142,604.5111751,0.948,0.03898461943
cop_0040,0.1246374739,327.2939347,0.903,0.02888803282
cop_0041,0.130668354,296.54481,0.973,0.02406515393
cop_0042,0.1291065505,346.4837164,0.963,0.03275597978
cop_0043,0.1303353781,469.0846003,0.952,0.03848094146
cop_0044,0.1221164775,272.8671227,0.767,0.04123648785
cop_0045,0.1269186826,479.1907985,0.941,0.02837002504
cop_0046,0.1348740054,688.2340589,0.996,0.02501485619
cop_0047,0.122146185,1364.084202,0.897,0.0403727978
cop_0048,0.1305725669,385.7043486,0.968,0.03273276025
cop_0049,0.1318237857,1042.760827,0.997,0.02443174487
cop_0050,0.125602568,751.3261629,0.75,0.02656497192
cop_0051,0.1334634649,581.2112706,0.988,0.03442284401
cop_0052,0.1502543565,741.6836246,0.954,0.04226002451
cop_0053,0.1317334742,776.2090952,0.663,0.02392028692
cop_0054,0.121663154,671.5016276,0.891,0.04327282982
cop_0055,0.1427353976,2051.16063,0.977,0.03312609419
cop_0056,0.1316942155,839.7874922,0.995,0.02436975983
cop_0057,0.1225625379,254.0633671,0.827,0.03321453241
cop_0058,0.13131743,233.0287509,0.865,0.01618562774
cop_0059,0.1310199991,156.4012067,0.53,0.01776166113
cop_0060,0.1282898002,356.0056397,0.93,0.02427258779
cop_0061,0.1245096507,695.9442413,0.907,0.03360318811
cop_0062,0.1295489648,301.7230738,0.86,0.03958893726
cop_0063,0.1438718311,862.8583511,0.793,0.03554402899
cop_0064,0.1334495563,765.5717683,0.642,0.01996817022
cop_0065,0.1314185758,320.4522399,0.957,0.03376640811
cop_0066,0.1232550751,466.2079776,0.927,0.03191405564
cop_0067,0.1332905353,2734.545335,0.898,0.03550486049
cop_0068,0.128071019,419.9746269,0.89,0.03235887685
cop_0069,0.12671552,212.0831007,0.919,0.02918399726
cop_0070,0.1233724409,1486.668762,0.913,0.02991480804
cop_0071,0.1282752509,257.4757447,0.92,0.03583100058
cop_0072,0.1269214062,3883.605004,0.981,0.03214823443
cop_0073,0.1261902094,901.6006467,0.962,0.02373004409
cop_0074,0.131385809,509.6552937,0.975,0.03350265871
cop_0075,0.1345325649,2278.938019,0.94,0.0378631612
cop_0076,0.1283012996,536.7770977,0.691,0.02233341431
cop_0077,0.1332834803,6635.805177,0.889,0.02476998574
cop_0078,0.1262656725,153.4011517,0.759,0.03524739766
cop_0079,0.1226773358,1646.339295,0.924,0.04879346543
cop_0080,0.1293560455,848.621154,0.998,0.0197949828
cop_0081,0.126550635,342.9442589,0.917,0.03322905981
cop_0082,0.1404010508,6674.250933,0.911,0.04826056678
cop_0083,0.1319826611,465.2034529,0.945,0.03405740926
cop_0084,0.1365763934,1400.221172,0.977,0.03442974575
cop_0085,0.1331790352,321.3309606,0.976,0.02578372971
cop_0086,0.1412945859,1739.641238,0.99,0.0338286353
cop_0087,0.1276386347,1659.206927,0.834,0.02889128722
cop_0088,0.1395064391,948.887484,0.997,0.03556134016
cop_0089,0.1518540073,719.676974,0.954,0.04480893889
cop_0090,0.1302329295,394.3756301,0.627,0.02019870039
cop_0091,0.1246324207,484.7361931,0.882,0.02927791252
cop_0092,0.1323784381,1911.654484,0.829,0.02364353254
cop_0093,0.1429102016,4432.03101,0.721,0.03126698907
cop_0094,0.1257111292,1978.983981,0.909,0.03327530037
cop_0095,0.1357264299,854.2945633,0.994,0.02840231111
cop_0096,0.1442315298,1229.130077,0.988,0.03777506232
cop_0097,0.1282714972,1625.42291,0.867,0.02790140996
cop_0098,0.1322232021,230.1001462,0.932,0.02516481711
cop_0099,0.1266920419,3356.17876,0.969,0.03163345183
cop_0100,0.1209863429,390.2711388,0.851,0.0391137345
cop_0101,0.1289141878,212.8326174,0.894,0.03807720131
cop_0102,0.1227843423,931.3507504,0.877,0.03510840653
cop_0103,0.1243945002,670.2114753,0.882,0.0229202829
cop_0104,0.1431066679,784.7119825,0.916,0.03505631418
cop_0105,0.1357325555,202.0281622,0.765,0.05196486896
cop_0106,0.12297418,1365.770389,0.857,0.03275993738
cop_0107,0.1224170999,507.2159155,0.875,0.03857310637
cop_0108,0.1361002257,399.6534592,0.898,0.04814826612
cop_0109,0.125602303,1631.280196,0.95,0.02907344432
cop_0110,0.1294925554,2262.463011,0.895,0.02182956522
cop_0111,0.1381911861,7397.581174,0.907,0.02965452201
cop_0112,0.1256003142,2217.133237,0.956,0.02755190068
cop_0113,0.1275363193,294.492253,0.945,0.03068001691
cop_0114,0.1438714546,1016.906293,0.987,0.03551338214
cop_0115,0.1369016577,569.1111459,0.921,0.02702050186
cop_0116,0.1315553802,1654.218139,0.871,0.02668654159
cop_0117,0.1247764264,258.8804723,0.631,0.02716427355
cop_0118,0.1271979613,1695.855916,0.896,0.0389650067
cop_0119,0.1377418062,1082.010895,0.994,0.03121118151
cop_0120,0.1267014991,2846.775214,0.951,0.02739317432
cop_0121,0.1237653286,476.4370522,0.777,0.03249223948
cop_0122,0.14009641,1269.166063,0.886,0.03218313896
cop_0123,0.1313359573,429.3730239,0.966,0.03092424372
cop_0124,0.1296523735,2749.67116,0.906,0.02472930318
cop_0125,0.128962317,366.9184844,0.844,0.04142305762
cop_0126,0.1290614303,2527.798657,0.953,0.04033929182
cop_0127,0.1347504153,7559.805278,0.969,0.038534736
cop_0128,0.1280536718,903.1697491,0.979,0.02799548518
cop_0129,0.1317037535,749.0545165,0.976,0.03062148986
cop_0130,0.1320895626,613.8444766,1,0.02210599937
cop_0131,0.1279631213,302.767214,0.919,0.03884374082
cop_0132,0.1383263726,2544.869212,0.886,0.02880097472
cop_0133,0.1296770284,249.9555891,0.891,0.03738061977
cop_0134,0.1232812844,2480.539533,0.993,0.02498898781
cop_0135,0.1234395236,721.3957392,0.924,0.03163673513
cop_0136,0.1232536493,423.0481723,0.832,0.04572988516
cop_0137,0.1323059566,796.423788,0.95,0.0284497097
cop_0138,0.1401013219,1576.294436,0.756,0.02781207439
cop_0139,0.1206427717,795.4916494,0.989,0.02262446542
cop_0140,0.142666798,1094.669486,0.998,0.03939291077
cop_0141,0.1308665288,5102.645474,0.886,0.02535484707
cop_0142,0.1217029254,673.5511275,0.798,0.03823074806
cop_0143,0.1333749922,1985.838076,0.703,0.0216274003
cop_0144,0.1368187306,3319.186649,0.983,0.03961424698
cop_0145,0.1246173154,581.3288262,0.849,0.0364351108
cop_0146,0.1292541156,1192.915529,0.979,0.02460804179
cop_0147,0.1239796765,745.5534195,0.861,0.03659671685
cop_0148,0.1186656574,904.0412564,0.915,0.04292902791
cop_0149,0.1360348065,504.9292648,0.9,0.04530684404
cop_0150,0.1288531605,1926.9948,0.976,0.02763229556
cop_0151,0.1309196604,735.5778326,0.941,0.04003843074
cop_0152,0.126378468,2505.269771,0.933,0.04105492925
cop_0153,0.1415787248,1551.37571,0.989,0.03299685054
cop_0154,0.1379330453,1570.059612,0.989,0.03191247904
cop_0155,0.1295358453,342.5088894,0.972,0.03099225003
