parameter,us_benchmark,averaged_unconstrained,mean_constrained,p05,p25,p50,p75,p95,us_benchmark_theta,averaged_theta,link
"c[0]",0.668002429,0.2774838317,0.2774838317,0.2462529903,0.2641471868,0.2777774006,0.2906101577,0.3092871723,0.668002429,0.2774838317,theta
"c[1]",0.2841211519,-0.007326983306,-0.007326983306,-0.06673255057,-0.02794520656,-0.006480486357,0.01551982817,0.04399179608,0.2841211519,-0.007326983306,theta
"c[2]",0.03095227849,-5.915700646e-05,-5.915700646e-05,-0.003022050746,-0.0008328624133,-1.476560864e-05,0.0007761263574,0.0026547279,0.03095227849,-5.915700646e-05,theta
"c[3]",1.568731232,0.4751262925,0.4751262925,0.1982533272,0.3627268947,0.4712212808,0.5917149641,0.7453453841,1.568731232,0.4751262925,theta
"c[4]",10.40045229,0.8705822153,0.8705822153,0.3545468799,0.6648266104,0.8670570973,1.0704963,1.361702498,10.40045229,0.8705822153,theta
"Phi_star[0]",0.595419602,0.3959355527,0.3853296126,0.1461428435,0.2918594134,0.392177521,0.4820336872,0.5866672107,0.6860207891,0.4188196118,1 tanh(theta)
"Psi_star1[0,0]",0.2784646211,-0.06869726216,-0.06869726216,-0.407952575,-0.2266894658,-0.08067097933,0.07866077229,0.3137867022,0.2784646211,-0.06869726216,theta
"Psi_star1[0,1]",0.0498619619,0.08981722065,0.08981722065,-0.1811476893,-0.04474026701,0.1081893146,0.2046746484,0.3577041349,0.0498619619,0.08981722065,theta
"Psi_star1[0,2]",0.2013515733,-0.736621312,-0.736621312,-1.049403911,-0.859436726,-0.7390638492,-0.6242191066,-0.4356478619,0.2013515733,-0.736621312,theta
"Psi_star1[0,3]",-0.3226244278,0.1454427549,0.1454427549,-0.7238923135,-0.2573156898,0.1049161264,0.5251337804,1.06474553,-0.3226244278,0.1454427549,theta
"Psi_star1[0,4]",0.2473043655,2.945265377,2.945265377,0.5148774902,1.894757848,2.911743841,3.963499251,5.575758639,0.2473043655,2.945265377,theta
"Psi_star1[1,0]",0.4144564924,-0.4618133688,-0.4618133688,-1.017323793,-0.7115345623,-0.4814412953,-0.2442207122,0.145538533,0.4144564924,-0.4618133688,theta
"Psi_star1[1,1]",-0.4719164961,0.4154597596,0.4154597596,-0.0295221391,0.2751587039,0.4394595661,0.5929913618,0.7554007086,-0.4719164961,0.4154597596,theta
"Psi_star1[1,2]",1.197595414,-0.6367259956,-0.6367259956,-1.054076198,-0.8120515571,-0.6337147523,-0.457784366,-0.1780601993,1.197595414,-0.6367259956,theta
"Psi_star1[1,3]",-0.2821594627,0.2611952172,0.2611952172,-0.6907130605,-0.1497134997,0.2201342671,0.6626697275,1.37377229,-0.2821594627,0.2611952172,theta
"Psi_star1[1,4]",0.09390741782,2.395480036,2.395480036,-0.1026841834,1.139490091,2.302654947,3.504874102,5.477109076,0.09390741782,2.395480036,theta
