configuration,replicate,nu,loss
cop_0191,0,1466.336701,0.1167050652
cop_0191,1,2018.399143,0.1169384338
cop_0191,2,1606.946879,0.1171538971
cop_0191,3,61963.66002,0.1172646398
cop_0191,4,4843.778036,0.1190594923
cop_0191,5,696.732142,0.1166336205
cop_0191,6,930.5465627,0.1216116556
cop_0191,7,1652.063427,0.1178736835
cop_0191,8,692.6893072,0.1191535567
cop_0191,9,2209.502259,0.1205020022
cop_0191,10,920.6632062,0.1218330455
cop_0191,11,430.8098169,0.1168242062
cop_0191,12,406.3927229,0.114727224
cop_0191,13,675.6247095,0.1160990285
cop_0191,14,387.2248972,0.1181536716
cop_0191,15,1932.908085,0.1183338615
cop_0191,16,495961.6026,0.1187174185
cop_0191,17,1702.280264,0.118567479
cop_0191,18,3983.375069,0.1203981735
cop_0191,19,167746.9815,0.116325334
cop_0191,20,2700.034699,0.1171435221
cop_0191,21,10947.4568,0.116212184
cop_0191,22,6756.421986,0.1181023726
cop_0191,23,1964.28598,0.1218337903
cop_0191,24,45039.48151,0.1193431829
cop_0191,25,1921.528429,0.1186350327
cop_0191,26,72280.00229,0.117550455
cop_0191,27,1896.840739,0.1170235752
cop_0191,28,315.6800213,0.1164378744
cop_0191,29,719395.1457,0.1196654421
cop_0191,30,7513.308344,0.1205765157
cop_0191,31,812.315397,0.1153014947
cop_0191,32,11533.76336,0.1220446553
cop_0191,33,1440.504079,0.1164949102
cop_0191,34,162.3541043,0.1142649503
cop_0191,35,1107.963084,0.1177577449
cop_0191,36,2419.086213,0.1170293946
cop_0191,37,911318.7899,0.1209139651
cop_0191,38,567.5708622,0.1166186338
cop_0191,39,1237.230949,0.1175251868
cop_0191,40,2372.96893,0.1225778759
cop_0191,41,337.8836336,0.1197738452
cop_0191,42,3318.414433,0.1228933094
cop_0191,43,3473.310835,0.1178944826
cop_0191,44,392979.3857,0.1185643681
cop_0191,45,1547.725284,0.1196154914
cop_0191,46,413.656603,0.1164393216
