configuration,replicate,"c[0]","c[1]","c[2]","c[3]","c[4]","Phi_star[0]","Psi_star1[0,0]","Psi_star1[0,1]","Psi_star1[0,2]","Psi_star1[0,3]","Psi_star1[0,4]","Psi_star1[1,0]","Psi_star1[1,1]","Psi_star1[1,2]","Psi_star1[1,3]","Psi_star1[1,4]","Psi_star1[2,0]","Psi_star1[2,1]","Psi_star1[2,2]","Psi_star1[2,3]","Psi_star1[2,4]","Omega_inv[0,0]","Omega_inv[1,1]","Omega_inv[2,2]","Omega_inv[3,3]","Omega_inv[4,4]","Omega_inv[1,0]","Omega_inv[2,0]","Omega_inv[2,1]","Omega_inv[3,0]","Omega_inv[3,1]","Omega_inv[3,2]","Omega_inv[4,0]","Omega_inv[4,1]","Omega_inv[4,2]","Omega_inv[4,3]","nu","alpha1[0,0]","alpha1[1,0]","alpha2[0,0]","alpha2[1,0]","beta1[0,1]",is_converged
cop_0191,0,0.327325102,0.01513549362,-0.0006726983116,0.5769474178,1.074063142,0.504548985,0.1808188336,-0.01575151249,-0.6559630848,0.2921081575,1.829021689,-0.07155765835,0.303526709,-0.6750508502,0.2069741938,1.641804148,-0.002428877737,0.03068907587,-0.5828270117,0.2950603102,1.942529078,0.136262182,-1.897655028,-2.016220981,-1.2008435,-3.705356312,1.088438861,1.136242432,0.008003510115,0.06698883161,0.07784310412,0.09582263601,0.08059376177,0.01713887953,0.03090866923,0.07672857791,7.289157655,-0.03721401998,0.1280161545,0.1224799751,0.06274524974,4.769033843,0
cop_0191,1,0.287822292,-0.01067179325,0.001380397698,0.3010008199,0.5426910958,0.4506617866,-0.00582001312,0.0003443593286,-0.7184375671,-0.09827218341,4.703412845,-0.659392349,0.4200189419,-0.4907387895,-0.1982391719,4.949324015,-0.01978282236,0.01270243975,-0.608400627,0.3652051787,2.589957786,0.2680599658,-1.883968127,-2.117326442,-1.307516887,-3.822874342,1.301558928,1.241441872,-0.01741195689,0.1153791215,-0.01325067628,0.1702668865,0.09885877118,-0.005557389592,0.04264272589,0.07283911749,7.609068597,-0.02859264578,0.1578769744,0.1251752768,0.07827539005,3.746327285,1
cop_0191,2,0.2687193636,0.007450864266,-4.251511948e-05,0.5167752166,0.8501077732,0.4561287886,0.1478917956,-0.1070523699,-0.5504831054,0.870164786,1.026230578,-0.636546935,0.2822009921,-0.2338633209,1.22213859,-0.06501697234,0.06955527138,-0.006435807843,-0.6642018638,0.4254283636,2.339367833,0.3836068128,-1.650253022,-1.72795874,-1.581996546,-3.769822003,1.629839402,1.300582332,-0.04948610191,0.1094605839,0.04022454101,0.2687592242,0.09739203482,0.009108699565,0.08000768627,0.05235973534,7.380845938,-0.03642569506,0.1366143743,0.1281825048,0.07210625872,4.364266964,1
cop_0191,3,0.2630726977,-0.00602223613,0.0001718310065,0.2054790199,0.126008641,0.2829956466,-0.411753663,0.4141064368,-0.9955411761,-0.200137813,6.473879377,-0.5284341367,0.625651494,-0.9476290872,-0.07690174426,5.389378275,-0.01355668217,0.005518043876,-0.7304654091,0.5931492542,2.534447589,0.3492762167,-1.774929873,-1.92766275,-1.424009264,-3.974573302,1.282098081,1.196251256,0.1254230783,0.09951685373,0.04140265034,0.176564209,0.09093785027,0.01370987069,0.04499641283,0.06812076773,11.03427109,-0.04194067819,0.1769245042,0.1502137319,0.08618230752,2.958916284,0
cop_0191,4,0.2959275073,0.02902186865,0.0003449185889,0.7989345066,1.335037674,0.1259135854,-0.2508781962,0.2455556614,-0.9559745032,0.7543686623,3.126774281,-0.3999652294,0.4612342323,-0.9000076975,0.636714906,2.674660716,-0.01715222541,0.031500293,-0.9054792833,0.9369865361,1.925837946,0.3527076418,-1.672512029,-1.888929297,-1.293512394,-3.949054512,1.319772991,1.323137568,0.06363462533,0.1584999528,0.03795697511,0.1103046393,0.1112927028,0.008191756126,0.03217617184,0.06668638433,8.485037295,-0.06625262572,0.238142273,0.2218628288,0.09820281203,1.574859556,0
cop_0191,5,0.3201168536,0.06592138369,-0.0007503559383,0.5927585564,1.101251353,0.2643390294,-0.02632252618,-0.07197088643,-0.7276483581,0.4920918246,3.72260557,-0.5196242551,0.1669972274,-0.5485908316,-0.1378763665,5.478664375,0.005468042588,-0.01953087396,-0.7451820926,0.8413416782,2.156382239,0.3101619226,-1.826058219,-1.981348284,-1.369053105,-3.876024324,1.324931024,1.315027155,-0.01762521892,0.124820273,0.06967066536,0.1476556618,0.1058384868,0.01766425305,0.04016266239,0.06669775351,6.543526364,-0.04664167277,0.2110987797,0.1689128538,0.09585314835,2.233144151,0
cop_0191,6,0.249554792,-0.01351935341,-0.0001399168258,0.3736478615,0.7466588749,0.4079783995,-0.324066114,0.1305917425,-0.6547740803,-0.4675586502,4.147656826,-1.061261895,0.5825905377,-0.457753024,-0.7535796758,5.252892962,0.02629233092,0.01272325457,-0.6543224264,0.3077278338,0.8086373686,0.1446943498,-2.125738016,-1.842514025,-1.325548593,-3.940904503,1.193233801,1.002026078,-0.06431013067,0.07402723281,-0.04057080217,0.0904667541,0.07430840645,-0.01194669733,0.02610481893,0.07385106699,6.833620528,-0.01765576996,0.1590717677,0.1467364357,0.08373768435,3.180344242,1
cop_0191,7,0.2088867992,-0.05460378155,-0.0003742072377,0.5673997042,1.100615156,0.2547022696,-0.3739252426,0.1930556419,-0.7232318967,0.3801474176,2.952276651,-0.500224942,0.3367859425,-0.6152836385,0.3761011516,2.358822709,-0.0301695702,-0.05323643223,-0.6811393499,0.5473527592,1.5687339,0.3716597689,-1.603188612,-2.00219177,-1.295440534,-3.766811374,1.328762445,1.274179459,0.1095993396,0.1071932059,0.07025995465,0.1630031979,0.09777745596,0.01896542459,0.04337203893,0.07582022253,7.408569007,-0.03253273047,0.2281067919,0.1881637215,0.101250105,1.697573965,0
cop_0191,8,0.2777305828,-0.04256585321,-0.002051650829,0.3616003964,0.8378932921,0.4133430146,0.08653032268,-0.0321800222,-0.6455077743,0.3488765244,1.765542603,0.1159413832,-0.03107706726,-0.7692690266,0.9601782589,0.4919389474,0.05903568847,0.01637264177,-0.623787712,0.6683548812,0.5110010521,0.1807623992,-1.191669699,-1.931468395,-1.227556189,-3.614981109,1.375154811,1.148298097,-0.02774072375,0.1046109394,-0.03621168207,0.1161267108,0.0889060132,-0.008353595356,0.03137642619,0.07929932136,6.537690095,-0.006300659787,0.1502600037,0.1113317038,0.07682832898,3.871154222,1
cop_0191,9,0.2812898685,-0.005593726445,-0.0001985236254,0.4970160412,1.053038695,0.2593481,0.08886794479,-0.06268673323,-0.8571822079,0.2719888488,3.644653149,0.5770084968,-0.2036865124,-1.235126316,1.590301995,0.4289558948,-0.03995117358,0.03390942824,-0.7647000591,0.6315944433,2.022401914,0.2127442426,-1.326304289,-2.01052169,-1.424514477,-3.942198779,1.465645468,1.167987902,-0.02872609645,0.1098401745,-0.07611941701,0.1568602087,0.09307322124,-0.02035200651,0.03976284114,0.0606653218,7.699616956,-0.03052947627,0.192936237,0.1608640086,0.0942205757,2.492293967,0
cop_0191,10,0.2614462224,-0.03770538234,-0.001314723047,0.3536682686,0.6510312731,0.5026058791,-0.1105141629,0.01703464815,-0.743619606,-0.7875088551,5.430009775,-0.8293686546,0.3950872721,-0.4882367807,-0.7492642889,5.72535956,0.1625273686,0.01167474972,-0.712553052,0.4540652093,0.5988613353,0.2658323309,-1.743378651,-1.776333158,-1.22233967,-3.973252431,1.395331857,1.116147551,-0.05251875805,0.08689556883,-0.04309444303,0.132926584,0.08469595412,-0.01773534044,0.03323191148,0.08495248894,6.822919577,-0.01302195378,0.1024716384,0.09759168415,0.06446816845,5.999765481,1
cop_0191,11,0.2710541264,-0.0009410864574,0.002448958947,0.4451936021,0.7418325016,0.5858126888,-0.09332426251,0.4877572492,-0.9573005982,0.4803534214,1.012817445,-0.3372610145,0.5082076958,-0.5826745547,0.3668071851,0.6521796531,0.08792334031,0.06727114236,-0.5891868094,0.5766428884,0.04707850547,0.2008498787,-1.581254935,-2.124899196,-1.359290077,-3.798328963,1.083846371,1.037495032,0.1205096312,0.08148111154,0.04140729522,0.1408426997,0.07657403635,0.01394623997,0.04014762801,0.07657458469,6.061013503,-0.01286484246,0.1011336215,0.08828194869,0.06012875362,6.447334538,1
