component,horizon,shock,response,shock_name,response_name,unrotated,lower,median,upper
contemporaneous,0,1,1,Supply shock,GDP growth,1.131420362,0.08280059118,0.4034958983,0.8201314248
contemporaneous,0,1,2,Supply shock,Energy demand growth,1.117497487,0.06331339458,0.3928275797,0.8117454667
contemporaneous,0,1,3,Supply shock,Employment change,1.016597028,0.0233113191,0.3254155219,0.7162158333
contemporaneous,0,1,4,Supply shock,Inflation,0.05739623392,-0.1463107728,-0.07129901983,-0.01366354917
contemporaneous,0,1,5,Supply shock,Interest rate,0.07082311538,-0.03549516194,-0.001535744497,0.03062936903
contemporaneous,0,2,1,Demand shock,GDP growth,0,0.130806717,0.5548082661,0.9609153465
contemporaneous,0,2,2,Demand shock,Energy demand growth,0.1592312701,0.1308426641,0.565564486,0.9643189058
contemporaneous,0,2,3,Demand shock,Employment change,0.02274784212,0.142651395,0.5268190279,0.8832849365
contemporaneous,0,2,4,Demand shock,Inflation,0.01820405123,0.02080872847,0.0952303998,0.1665810593
contemporaneous,0,2,5,Demand shock,Interest rate,0.004431734313,0.02431987756,0.05712493342,0.08221268885
contemporaneous,0,3,1,Monetary policy shock,GDP growth,0,-0.1894610396,-0.07532936371,-0.01337721625
contemporaneous,0,3,2,Monetary policy shock,Energy demand growth,0,-0.22409582,-0.09487466672,0.0343863026
contemporaneous,0,3,3,Monetary policy shock,Employment change,0.1319796155,-0.1709485581,-0.07245749589,0.03013087453
contemporaneous,0,3,4,Monetary policy shock,Inflation,0.09021607619,-0.03087664949,-0.01215194778,-0.00216565716
contemporaneous,0,3,5,Monetary policy shock,Interest rate,0.02935348521,0.0006893586922,0.003830464691,0.009531390493
contemporaneous,0,4,1,Unrestricted shock 4,GDP growth,0,-0.7673030093,-0.0107028526,0.7527429883
contemporaneous,0,4,2,Unrestricted shock 4,Energy demand growth,0,-0.7762047184,-0.008664438074,0.7615049791
contemporaneous,0,4,3,Unrestricted shock 4,Employment change,0,-0.6920937905,-0.006672067909,0.6883302466
contemporaneous,0,4,4,Unrestricted shock 4,Inflation,0.1624020114,-0.1275664507,0.00293224537,0.1363055491
contemporaneous,0,4,5,Unrestricted shock 4,Interest rate,0.04711957239,-0.06423858077,-0.001199468053,0.0644467818
contemporaneous,0,5,1,Unrestricted shock 5,GDP growth,0,-0.7512582013,-0.01881859962,0.750354326
contemporaneous,0,5,2,Unrestricted shock 5,Energy demand growth,0,-0.7517569639,-0.01454822305,0.7522635109
contemporaneous,0,5,3,Unrestricted shock 5,Employment change,0,-0.6861817974,-0.02119329107,0.6852676395
contemporaneous,0,5,4,Unrestricted shock 5,Inflation,0,-0.1272892886,-0.002782127671,0.1294490781
contemporaneous,0,5,5,Unrestricted shock 5,Interest rate,0.01746893214,-0.06247594297,-0.001528636337,0.06446409068
contemporaneous,1,1,1,Supply shock,GDP growth,0,0,0,0
contemporaneous,1,1,2,Supply shock,Energy demand growth,0,0,0,0
contemporaneous,1,1,3,Supply shock,Employment change,0,0,0,0
contemporaneous,1,1,4,Supply shock,Inflation,0,0,0,0
contemporaneous,1,1,5,Supply shock,Interest rate,0,0,0,0
contemporaneous,1,2,1,Demand shock,GDP growth,0,0,0,0
contemporaneous,1,2,2,Demand shock,Energy demand growth,0,0,0,0
contemporaneous,1,2,3,Demand shock,Employment change,0,0,0,0
contemporaneous,1,2,4,Demand shock,Inflation,0,0,0,0
contemporaneous,1,2,5,Demand shock,Interest rate,0,0,0,0
contemporaneous,1,3,1,Monetary policy shock,GDP growth,0,0,0,0
contemporaneous,1,3,2,Monetary policy shock,Energy demand growth,0,0,0,0
contemporaneous,1,3,3,Monetary policy shock,Employment change,0,0,0,0
contemporaneous,1,3,4,Monetary policy shock,Inflation,0,0,0,0
contemporaneous,1,3,5,Monetary policy shock,Interest rate,0,0,0,0
contemporaneous,1,4,1,Unrestricted shock 4,GDP growth,0,0,0,0
contemporaneous,1,4,2,Unrestricted shock 4,Energy demand growth,0,0,0,0
contemporaneous,1,4,3,Unrestricted shock 4,Employment change,0,0,0,0
contemporaneous,1,4,4,Unrestricted shock 4,Inflation,0,0,0,0
contemporaneous,1,4,5,Unrestricted shock 4,Interest rate,0,0,0,0
contemporaneous,1,5,1,Unrestricted shock 5,GDP growth,0,0,0,0
contemporaneous,1,5,2,Unrestricted shock 5,Energy demand growth,0,0,0,0
contemporaneous,1,5,3,Unrestricted shock 5,Employment change,0,0,0,0
contemporaneous,1,5,4,Unrestricted shock 5,Inflation,0,0,0,0
contemporaneous,1,5,5,Unrestricted shock 5,Interest rate,0,0,0,0
contemporaneous,2,1,1,Supply shock,GDP growth,0,0,0,0
contemporaneous,2,1,2,Supply shock,Energy demand growth,0,0,0,0
contemporaneous,2,1,3,Supply shock,Employment change,0,0,0,0
contemporaneous,2,1,4,Supply shock,Inflation,0,0,0,0
contemporaneous,2,1,5,Supply shock,Interest rate,0,0,0,0
contemporaneous,2,2,1,Demand shock,GDP growth,0,0,0,0
contemporaneous,2,2,2,Demand shock,Energy demand growth,0,0,0,0
contemporaneous,2,2,3,Demand shock,Employment change,0,0,0,0
contemporaneous,2,2,4,Demand shock,Inflation,0,0,0,0
contemporaneous,2,2,5,Demand shock,Interest rate,0,0,0,0
contemporaneous,2,3,1,Monetary policy shock,GDP growth,0,0,0,0
contemporaneous,2,3,2,Monetary policy shock,Energy demand growth,0,0,0,0
contemporaneous,2,3,3,Monetary policy shock,Employment change,0,0,0,0
contemporaneous,2,3,4,Monetary policy shock,Inflation,0,0,0,0
contemporaneous,2,3,5,Monetary policy shock,Interest rate,0,0,0,0
contemporaneous,2,4,1,Unrestricted shock 4,GDP growth,0,0,0,0
contemporaneous,2,4,2,Unrestricted shock 4,Energy demand growth,0,0,0,0
contemporaneous,2,4,3,Unrestricted shock 4,Employment change,0,0,0,0
