configuration,replicate,nu,log_likelihood,loss,class,largest_q_over_k,largest_q_over_k_nu_up_1pct,change_nu_times_0.5,change_nu_times_0.9,change_nu_times_0.99,change_nu_times_1.01,change_nu_times_1.1,change_nu_times_2,change_nu_at_7.19892,change_nu_at_100,change_nu_at_1e+06
cop_0191,0,1466.336701,641.7657485,0.1167050652,between,6.40835,6.40835,-1683.12,-1171.14,-34.7185,-34.714,-1304.53,-7101.35,-3343.63,-179.471,-939118
cop_0191,1,2018.399143,683.6174898,0.1169384338,knife-edge,9.67797,37.7791,-5205.78,-6718.16,-3508.99,-4105.34,-8868.89,-21848.1,-4395.16,-680.609,-3.75271e+06
cop_0191,2,1606.946879,515.6600715,0.1171538971,knife-edge,4.66505,34.1717,-4818.39,-6646.66,-4066.44,-4370.27,-8134.61,-19764.4,-4217.42,-391.382,-4.5565e+06
cop_0191,3,61963.66002,658.4147345,0.1172646398,smooth,5.54016,5.54016,-300.491,-3.95594,-0.0318558,-0.032885,-2.701,-83.5421,-4899.07,-724.995,-302.833
cop_0191,4,4843.778036,570.1627288,0.1190594923,smooth,5.80706,5.80715,-790.487,-42.9171,-0.405854,-0.374231,-34.4866,-1222.07,-4402.03,-1101.49,-9476.2
cop_0191,5,696.732142,678.9343797,0.1166336205,smooth,7.40522,7.47925,-17.709,-21.7271,-0.317694,-0.323026,-38.338,-1360.03,-4777.83,-303.71,-141306
cop_0191,6,930.5465627,795.9791149,0.1216116556,smooth,3.91974,3.91946,-2.77792,-0.0366511,-0.000304651,-0.000294819,-0.0249612,-0.782305,-3705.76,-154.276,-3.27505
cop_0191,7,1652.063427,467.4197623,0.1178736835,knife-edge,9.6434,22.7537,-2837.1,-3438.34,-1313.93,-1461.23,-4339.72,-11883.8,-3601.01,-610.621,-2.48223e+06
cop_0191,8,692.6893072,273.2029659,0.1191535567,smooth,7.98825,7.9952,-3.15733,-0.0405361,-0.000333191,-0.000328486,-0.0275219,-0.854148,-3067.71,-120.68,-3.54567
cop_0191,9,2209.502259,547.1358452,0.1205020022,between,5.34052,5.29053,-2056.73,-1559.73,-59.7805,-59.1608,-1731.64,-8225.27,-4818.47,-683.079,-837621
cop_0191,10,920.6632062,539.7399176,0.1218330455,smooth,4.49399,4.49421,-4.88134,-0.0620581,-0.000506771,-0.00050561,-0.0421029,-1.30109,-4657.65,-435.028,-5.37691
cop_0191,11,430.8098169,622.6523793,0.1168242062,smooth,5.4793,5.47979,-5.6177,-0.0708241,-0.000586371,-0.000566516,-0.0478226,-1.47623,-3065.4,-68.9229,-6.09445
cop_0191,12,406.3927229,695.5468878,0.114727224,smooth,6.28274,6.29072,-9.30426,-0.121004,-0.000992435,-0.000996084,-0.0832732,-2.67759,-3524.01,-106.341,-11.9613
cop_0191,13,675.6247095,677.8221487,0.1160990285,smooth,5.86564,5.8678,-5.55944,-0.0685975,-0.00055737,-0.000558316,-0.0462938,-1.41537,-4487.2,-370.987,-5.78979
cop_0191,14,387.2248972,642.6597512,0.1181536716,smooth,7.27651,7.27651,-12.3603,-0.167576,-0.00141137,-0.00134448,-0.11528,-3.73424,-3819.08,-97.0441,-16.6008
cop_0191,15,1932.908085,760.6118227,0.1183338615,smooth,7.49103,7.4924,-0.84672,-0.0109538,-0.000100946,-7.5723e-05,-0.00722185,-0.225505,-3679.18,-383.592,-0.924819
cop_0191,16,495961.6026,451.8701041,0.1187174185,smooth,6.32739,6.32739,-0.00150959,-0.000166548,-1.51285e-05,1.48265e-05,0.000136046,0.000745802,-3147.83,-795.085,0.000751803
cop_0191,17,1702.280264,724.4051368,0.118567479,between,5.12315,4.96758,-1115.56,-123.141,-1.19005,-1.16562,-99.9793,-2356.84,-4269.94,-442.446,-38541.1
cop_0191,18,3983.375069,633.334131,0.1203981735,knife-edge,7.93191,20.1303,-6585.47,-6448.65,-874.625,-919.716,-7704.66,-24875.3,-3669.38,-554.648,-1.92453e+06
cop_0191,19,167746.9815,565.3712866,0.116325334,smooth,5.74503,5.74502,-0.00490335,-0.000533079,-4.83404e-05,4.73596e-05,0.000433972,0.00236252,-4310.18,-374.878,0.00389954
cop_0191,20,2700.034699,708.8463413,0.1171435221,knife-edge,4.71318,27.6621,-7529.65,-8179.69,-2469.53,-2374.13,-8768.44,-24646.2,-4508.63,-710.798,-2.87935e+06
cop_0191,21,10947.4568,691.3289446,0.116212184,smooth,5.2402,5.23897,-228.48,-3.05892,-0.0111913,-0.0413924,-2.34342,-69.4545,-4763.9,-358.662,-282.468
cop_0191,22,6756.421986,538.9766721,0.1181023726,smooth,4.44078,4.44085,-0.0446076,-0.00075723,-2.52058e-05,1.62314e-05,-0.000166323,-0.00969995,-3658.42,-190.096,-0.0404283
cop_0191,23,1964.28598,537.5645394,0.1218337903,knife-edge,6.4272,48.5978,-8140.01,-11224.4,-7529.21,-8312.53,-14302.7,-32716.7,-3525.67,-856.113,-6.21164e+06
cop_0191,24,45039.48151,705.4508235,0.1193431829,smooth,6.19736,6.19737,-0.00383687,-0.000307176,-2.66927e-05,2.59249e-05,0.00022914,0.00101297,-3299.6,-289.531,0.00140882
cop_0191,25,1921.528429,391.2755336,0.1186350327,smooth,9.98445,9.99486,-1.84599,-0.0237751,-0.000201022,-0.000185952,-0.0160297,-0.49785,-3854.97,-839.78,-2.05347
cop_0191,26,72280.00229,743.9742576,0.117550455,smooth,4.46303,4.46302,-0.00455097,-0.000465444,-4.18973e-05,4.09869e-05,0.000373333,0.00196993,-4033.48,-186.214,0.0034932
cop_0191,27,1896.840739,675.798082,0.1170235752,knife-edge,6.13334,6.19413,-2343.36,-2040.41,-117.091,-115.903,-2101.32,-8743.25,-4222.41,-254.888,-1.2149e+06
cop_0191,28,315.6800213,575.2056603,0.1164378744,smooth,10.9475,10.947,-18.2357,-0.232421,-0.00193877,-0.00185603,-0.157826,-4.97119,-3990.9,-91.2371,-21.3459
cop_0191,29,719395.1457,364.2476043,0.1196654421,smooth,6.05866,6.05866,-0.00190808,-0.000211164,-1.9188e-05,1.88064e-05,0.000172614,0.000947626,-4283.37,-602.841,0.000532344
cop_0191,30,7513.308344,468.603111,0.1205765157,smooth,6.48947,6.48988,-1055.61,-26.2071,-0.254185,-0.18339,-18.2649,-609.931,-3697,-993.894,-2988.78
cop_0191,31,812.315397,717.2352811,0.1153014947,knife-edge,5.2459,11.9936,-105.441,-1961.16,-821.786,-948.872,-2798.49,-8235.68,-3572,-624.165,-4.04759e+06
cop_0191,32,11533.76336,631.6707605,0.1220446553,between,8.44415,10.4686,-11711.8,-4616.02,-79.1951,-77.0135,-4171.49,-27780.8,-4250.38,-809.438,-466957
cop_0191,33,1440.504079,252.9804427,0.1164949102,between,4.26187,4.23098,-1501.68,-497.891,-6.35465,-5.9932,-351.368,-1411.05,-3986.5,-311.003,-136512
cop_0191,34,162.3541043,820.5913581,0.1142649503,knife-edge,16.4101,16.4101,-260.594,-489.712,-211.795,-211.014,-692.583,-2698.1,-3222,-320.138,-8.97377e+06
cop_0191,35,1107.963084,870.6409644,0.1177577449,knife-edge,5.96025,26.0894,-2816.19,-3569.3,-1353.98,-1420.58,-4276.1,-11918.1,-4346.16,-165.385,-3.63661e+06
cop_0191,36,2419.086213,670.6833758,0.1170293946,knife-edge,7.93487,34.2916,-5840.38,-6966.33,-2858.59,-2578.63,-7427.46,-20223.3,-3267.17,-513.797,-2.86404e+06
cop_0191,37,911318.7899,282.3128773,0.1209139651,smooth,6.94775,6.94775,-0.00139207,-0.000154333,-1.40268e-05,1.37483e-05,0.000126209,0.000693445,-3989.11,-743.211,0.000123117
cop_0191,38,567.5708622,582.5528028,0.1166186338,knife-edge,5.31492,9.80742,-773.726,-1419.18,-448.985,-508.055,-1759.08,-5617.55,-4172.41,-225.011,-3.8898e+06
