configuration,replicate,own_nu,own_log_likelihood,own_loss,own_converged,held_nu,log_likelihood,loss,gradient_norm,converged,stop_reason,iterations
cop_0191,0,1466.336701,641.7657485,0.1167050652,0,7.198920587,580.4612585,0.1115602325,1177.95,0,"hit the iteration limit",20000
cop_0191,0,1466.336701,641.7657485,0.1167050652,0,10,624.9463232,0.1124793585,27052.3,1,"function decrease below tolerance",3962
cop_0191,0,1466.336701,641.7657485,0.1167050652,0,30,543.1354202,0.1175465029,1253.42,1,"function decrease below tolerance",4303
cop_0191,0,1466.336701,641.7657485,0.1167050652,0,100,629.6517387,0.1169984656,211.79,1,"function decrease below tolerance",5958
cop_0191,0,1466.336701,641.7657485,0.1167050652,0,1000,643.6755948,0.1171166361,187.177,1,"function decrease below tolerance",3800
cop_0191,0,1466.336701,641.7657485,0.1167050652,0,10000,643.4061359,0.1168952954,138.104,1,"function decrease below tolerance",6496
cop_0191,0,1466.336701,641.7657485,0.1167050652,0,100000,644.5233282,0.1167036142,2951.7,1,"function decrease below tolerance",8961
cop_0191,0,1466.336701,641.7657485,0.1167050652,0,1000000,644.1562873,0.1172511475,850.951,1,"function decrease below tolerance",8690
cop_0191,1,2018.399143,683.6174898,0.1169384338,1,7.198920587,-2740.167466,0.1161624354,3.41342e+07,0,"line search could not decrease the objective",5
cop_0191,1,2018.399143,683.6174898,0.1169384338,1,10,513.2491278,0.1113919151,7.99499e+06,0,"line search could not decrease the objective",5001
cop_0191,1,2018.399143,683.6174898,0.1169384338,1,30,499.078029,0.1143699568,6021.27,1,"function decrease below tolerance",3767
cop_0191,1,2018.399143,683.6174898,0.1169384338,1,100,627.3039819,0.1159776139,3639.6,1,"function decrease below tolerance",3570
cop_0191,1,2018.399143,683.6174898,0.1169384338,1,1000,265.2243956,0.1169601001,3.1937e+09,0,"line search could not decrease the objective",2
cop_0191,1,2018.399143,683.6174898,0.1169384338,1,10000,-12441.86113,0.1169472833,2.23183e+10,0,"line search could not decrease the objective",2
cop_0191,1,2018.399143,683.6174898,0.1169384338,1,100000,-59178.61165,0.1169330575,1.55837e+11,0,"line search could not decrease the objective",2
cop_0191,1,2018.399143,683.6174898,0.1169384338,1,1000000,682.3929798,0.1169236568,2602.23,1,"function decrease below tolerance",6
cop_0191,2,1606.946879,515.6600715,0.1171538971,1,7.198920587,195.5921417,0.1195361839,464.242,1,"function decrease below tolerance",1387
cop_0191,2,1606.946879,515.6600715,0.1171538971,1,10,256.1536004,0.1205945912,461.466,1,"function decrease below tolerance",2330
cop_0191,2,1606.946879,515.6600715,0.1171538971,1,30,393.5367007,0.1120177064,0.511143,0,"hit the iteration limit",20000
cop_0191,2,1606.946879,515.6600715,0.1171538971,1,100,478.1052961,0.1149322365,0.0118809,1,"function decrease below tolerance",5275
cop_0191,2,1606.946879,515.6600715,0.1171538971,1,1000,-69.60854761,0.1171548599,1.68298e+09,0,"line search could not decrease the objective",2
cop_0191,2,1606.946879,515.6600715,0.1171538971,1,10000,514.6362972,0.1171525215,1819.14,1,"function decrease below tolerance",6
cop_0191,2,1606.946879,515.6600715,0.1171538971,1,100000,-8484.585576,0.1171523432,7.76934e+10,0,"line search could not decrease the objective",2
cop_0191,2,1606.946879,515.6600715,0.1171538971,1,1000000,-17429.58882,0.1171522483,1.25792e+11,0,"line search could not decrease the objective",2
cop_0191,3,61963.66002,658.4147345,0.1172646398,0,7.198920587,269.9661837,0.1157623257,1867.02,1,"function decrease below tolerance",11677
cop_0191,3,61963.66002,658.4147345,0.1172646398,0,10,302.1978594,0.1181564495,9.57818e+06,0,"line search could not decrease the objective",5306
cop_0191,3,61963.66002,658.4147345,0.1172646398,0,30,453.063934,0.1156328142,18940.4,0,"line search could not decrease the objective",2479
cop_0191,3,61963.66002,658.4147345,0.1172646398,0,100,615.6670285,0.1168345151,334.707,1,"function decrease below tolerance",9465
cop_0191,3,61963.66002,658.4147345,0.1172646398,0,1000,662.8213592,0.1178695083,418.888,1,"function decrease below tolerance",6654
cop_0191,3,61963.66002,658.4147345,0.1172646398,0,10000,663.690154,0.1181166374,2497.27,1,"function decrease below tolerance",7120
cop_0191,3,61963.66002,658.4147345,0.1172646398,0,100000,661.4915676,0.1178773988,266.641,1,"function decrease below tolerance",5651
cop_0191,3,61963.66002,658.4147345,0.1172646398,0,1000000,661.93186,0.1176872993,1951.12,1,"function decrease below tolerance",6619
cop_0191,4,4843.778036,570.1627288,0.1190594923,0,7.198920587,372.7265656,0.1114889822,170361,0,"hit the iteration limit",20000
